transaction_id,player_id,transaction_date,type,amount,method
TX000050,P00002,2024-07-17,Deposit,1350.83,E-Wallet
TX000051,P00003,2024-11-20,Deposit,57.21,E-Wallet
TX000052,P00003,2024-11-13,Deposit,204.35,E-Wallet
TX000053,P00003,2024-12-20,Deposit,263.08,E-Wallet
TX000054,P00003,2024-12-22,Withdrawal,380.19,E-Wallet
TX000055,P00003,2024-11-11,Deposit,46.1,E-Wallet
TX000056,P00003,2024-10-21,Deposit,61.49,E-Wallet
TX000057,P00003,2024-09-27,Deposit,163.58,E-Wallet
TX000058,P00003,2024-10-07,Deposit,274.05,E-Wallet
TX000059,P00003,2024-11-11,Deposit,30.77,E-Wallet
TX000060,P00003,2024-11-22,Withdrawal,35.5,E-Wallet
TX000061,P00003,2024-10-31,Deposit,114.41,E-Wallet
TX000062,P00003,2024-11-24,Withdrawal,147.5,E-Wallet
TX000063,P00003,2024-12-03,Deposit,76.48,E-Wallet
TX000064,P00003,2024-12-24,Withdrawal,83.39,E-Wallet
TX000065,P00003,2024-12-04,Deposit,96.56,E-Wallet
TX000066,P00003,2024-12-10,Deposit,298.22,E-Wallet
TX000067,P00003,2024-12-31,Deposit,75.07,E-Wallet
TX000068,P00003,2024-08-07,Deposit,147.39,E-Wallet
TX000069,P00003,2024-12-15,Deposit,101.25,E-Wallet
TX000070,P00004,2023-02-21,Deposit,32.03,Bank Transfer
TX000071,P00004,2023-03-11,Withdrawal,33.71,Bank Transfer
TX000072,P00004,2023-03-12,Deposit,50.08,Bank Transfer
TX000073,P00004,2024-04-25,Deposit,91.84,Bank Transfer
TX000074,P00004,2023-08-31,Deposit,92.69,Bank Transfer
TX000075,P00004,2023-08-23,Deposit,47.68,Bank Transfer
TX000076,P00004,2024-11-04,Deposit,85.96,Bank Transfer
TX000077,P00004,2024-11-21,Deposit,90.92,Bank Transfer
TX000078,P00004,2024-11-29,Withdrawal,27.74,Bank Transfer
TX000079,P00004,2023-08-29,Deposit,8.85,Bank Transfer
TX000080,P00005,2024-04-11,Deposit,4271.31,Bank Transfer
TX000081,P00005,2024-01-18,Deposit,8122.72,Bank Transfer
TX000082,P00005,2024-02-13,Withdrawal,11204.42,Bank Transfer
TX000083,P00005,2024-07-11,Deposit,655.26,Bank Transfer
TX000084,P00005,2024-12-20,Deposit,8048.98,Bank Transfer
TX000085,P00005,2024-05-15,Deposit,7804.56,Bank Transfer
TX000086,P00005,2024-08-21,Deposit,9894.25,Bank Transfer
TX000087,P00005,2024-09-11,Withdrawal,9526.49,Bank Transfer
TX000088,P00005,2024-02-08,Deposit,8624.72,Bank Transfer
TX000089,P00005,2024-06-27,Deposit,5827.17,Bank Transfer
TX000090,P00005,2024-09-15,Deposit,6732.97,Bank Transfer
TX000091,P00005,2024-09-28,Withdrawal,2663.65,Bank Transfer
TX000092,P00005,2024-11-06,Deposit,2833.16,Bank Transfer
TX000093,P00005,2024-01-30,Deposit,1733.84,Bank Transfer
TX000094,P00005,2024-04-21,Deposit,2105.72,Bank Transfer
TX000095,P00005,2024-04-29,Withdrawal,1681.82,Bank Transfer
TX000096,P00005,2024-07-16,Deposit,2438.89,Bank Transfer
TX000097,P00005,2024-07-19,Withdrawal,2970.84,Bank Transfer
TX000098,P00005,2024-05-06,Deposit,3440.18,Bank Transfer
TX000099,P00005,2024-09-16,Deposit,6570.71,Bank Transfer
TX000100,P00005,2024-09-20,Withdrawal,8856.43,Bank Transfer
TX000101,P00005,2023-12-12,Deposit,9559.06,Bank Transfer
TX000102,P00005,2024-01-05,Withdrawal,11980.48,Bank Transfer
TX000103,P00005,2024-04-27,Deposit,9668.86,Bank Transfer
TX000104,P00005,2024-05-11,Withdrawal,6816.89,Bank Transfer
TX000105,P00005,2024-08-23,Deposit,7777.0,Bank Transfer
TX000106,P00005,2024-08-05,Deposit,5352.41,Bank Transfer
TX000107,P00005,2024-10-20,Deposit,3143.86,Bank Transfer
TX000108,P00005,2024-11-14,Withdrawal,1290.35,Bank Transfer
TX000109,P00005,2024-03-10,Deposit,4184.87,Bank Transfer
TX000110,P00005,2024-04-09,Withdrawal,2512.31,Bank Transfer
TX000111,P00005,2023-12-20,Deposit,9153.74,Bank Transfer
TX000112,P00005,2024-01-24,Deposit,9925.17,Bank Transfer
TX000113,P00005,2024-02-03,Withdrawal,4887.23,Bank Transfer
TX000114,P00005,2024-11-28,Deposit,5580.69,Bank Transfer
TX000115,P00005,2024-10-29,Deposit,3838.13,Bank Transfer
TX000116,P00005,2024-06-27,Deposit,8030.32,Bank Transfer
TX000117,P00005,2024-08-29,Deposit,7870.69,Bank Transfer
TX000118,P00005,2024-03-05,Deposit,2306.37,Bank Transfer
TX000119,P00005,2024-10-06,Deposit,7603.48,Bank Transfer
TX000120,P00005,2024-10-29,Withdrawal,4349.96,Bank Transfer
TX000121,P00005,2024-11-11,Deposit,9371.06,Bank Transfer
TX000122,P00005,2024-09-21,Deposit,7822.97,Bank Transfer
TX000123,P00005,2024-11-03,Deposit,4004.27,Bank Transfer
TX000124,P00005,2023-12-29,Deposit,4802.64,Bank Transfer
TX000125,P00005,2024-01-09,Withdrawal,1539.47,Bank Transfer
TX000126,P00005,2024-11-15,Deposit,9372.24,Bank Transfer
TX000127,P00005,2024-07-10,Deposit,7622.46,Bank Transfer
TX000128,P00005,2024-07-20,Withdrawal,10171.47,Bank Transfer
TX000129,P00005,2024-01-23,Deposit,1773.76,Bank Transfer
TX000130,P00005,2024-02-08,Withdrawal,1727.1,Bank Transfer
TX000131,P00005,2024-02-08,Deposit,6132.41,Bank Transfer
TX000132,P00005,2024-09-19,Deposit,9963.29,Bank Transfer
TX000133,P00005,2024-06-02,Deposit,1637.65,Bank Transfer
TX000134,P00005,2024-11-01,Deposit,3512.14,Bank Transfer
TX000135,P00005,2024-07-15,Deposit,3287.79,Bank Transfer
TX000136,P00005,2024-01-08,Deposit,9420.96,Bank Transfer
TX000137,P00005,2024-02-19,Deposit,7111.11,Bank Transfer
TX000138,P00005,2024-02-27,Deposit,3166.35,Bank Transfer
TX000139,P00005,2024-01-18,Deposit,9763.73,Bank Transfer
TX000140,P00005,2024-08-22,Deposit,3429.66,Bank Transfer
TX000141,P00005,2024-08-22,Withdrawal,1136.51,Bank Transfer
TX000142,P00005,2024-05-04,Deposit,3613.66,Bank Transfer
TX000143,P00005,2024-02-19,Deposit,9348.4,Bank Transfer
TX000144,P00005,2024-01-31,Deposit,3944.06,Bank Transfer
TX000145,P00005,2024-02-08,Withdrawal,4818.06,Bank Transfer
TX000146,P00005,2024-05-21,Deposit,8939.88,Bank Transfer
TX000147,P00005,2024-05-27,Withdrawal,8928.02,Bank Transfer
TX000148,P00005,2024-01-20,Deposit,2699.43,Bank Transfer
TX000149,P00005,2024-02-15,Withdrawal,3273.76,Bank Transfer
TX000150,P00005,2024-12-31,Deposit,5642.41,Bank Transfer
TX000151,P00005,2024-12-09,Deposit,5714.9,Bank Transfer
TX000152,P00005,2024-11-28,Deposit,5687.61,Bank Transfer
TX000153,P00005,2024-11-11,Deposit,3326.69,Bank Transfer
TX000154,P00005,2024-12-30,Deposit,9342.48,Bank Transfer
TX000155,P00005,2024-07-13,Deposit,1383.19,Bank Transfer
TX000156,P00005,2024-12-24,Deposit,994.51,Bank Transfer
TX000157,P00005,2024-12-24,Withdrawal,425.84,Bank Transfer
TX000158,P00006,2024-05-06,Deposit,991.52,Bank Transfer
TX000159,P00006,2024-06-08,Deposit,602.14,Bank Transfer
TX000160,P00006,2024-08-19,Deposit,255.82,Bank Transfer
TX000161,P00006,2024-09-08,Withdrawal,358.61,Bank Transfer
TX000162,P00006,2024-06-07,Deposit,1298.59,Bank Transfer
TX000163,P00006,2024-06-13,Withdrawal,1525.19,Bank Transfer
TX000164,P00006,2024-06-18,Deposit,421.8,Bank Transfer
TX000165,P00006,2024-12-31,Deposit,553.31,Bank Transfer
TX000166,P00006,2024-09-01,Deposit,1195.71,Bank Transfer
TX000167,P00006,2024-07-20,Deposit,1036.04,Bank Transfer
TX000168,P00006,2024-08-02,Withdrawal,573.15,Bank Transfer
TX000169,P00006,2024-10-30,Deposit,465.7,Bank Transfer
TX000170,P00006,2024-10-08,Deposit,358.8,Bank Transfer
TX000171,P00006,2024-11-11,Deposit,1830.42,Bank Transfer
TX000172,P00006,2024-11-18,Withdrawal,1903.02,Bank Transfer
TX000173,P00006,2024-06-17,Deposit,1443.12,Bank Transfer
TX000174,P00006,2024-07-06,Withdrawal,1294.79,Bank Transfer
TX000175,P00006,2024-06-12,Deposit,870.54,Bank Transfer
TX000176,P00006,2024-06-20,Withdrawal,983.33,Bank Transfer
TX000177,P00006,2024-07-18,Deposit,1647.45,Bank Transfer
TX000178,P00006,2024-08-20,Deposit,351.65,Bank Transfer
TX000179,P00006,2024-08-27,Withdrawal,419.82,Bank Transfer
TX000180,P00006,2024-05-21,Deposit,1399.73,Bank Transfer
TX000181,P00006,2024-05-27,Withdrawal,884.43,Bank Transfer
TX000182,P00006,2024-06-11,Deposit,1191.69,Bank Transfer
TX000183,P00006,2024-06-10,Deposit,1676.94,Bank Transfer
TX000184,P00006,2024-06-13,Withdrawal,1190.0,Bank Transfer
TX000185,P00006,2024-11-29,Deposit,374.33,Bank Transfer
TX000186,P00006,2024-06-17,Deposit,1750.72,Bank Transfer
TX000187,P00006,2024-11-11,Deposit,819.58,Bank Transfer
TX000188,P00006,2024-09-02,Deposit,942.48,Bank Transfer
TX000189,P00006,2024-09-22,Withdrawal,447.77,Bank Transfer
TX000190,P00006,2024-10-31,Deposit,771.04,Bank Transfer
TX000191,P00006,2024-08-17,Deposit,1030.84,Bank Transfer
TX000192,P00006,2024-11-24,Deposit,192.97,Bank Transfer
TX000193,P00006,2024-12-08,Withdrawal,94.62,Bank Transfer
TX000194,P00006,2024-05-15,Deposit,1521.82,Bank Transfer
TX000195,P00006,2024-07-28,Deposit,885.47,Bank Transfer
TX000196,P00006,2024-06-26,Deposit,638.55,Bank Transfer
TX000197,P00006,2024-07-20,Withdrawal,202.11,Bank Transfer
TX000198,P00006,2024-05-18,Deposit,1214.32,Bank Transfer
TX000199,P00006,2024-08-07,Deposit,953.75,Bank Transfer
TX000200,P00007,2024-09-06,Deposit,289.78,Bank Transfer
TX000201,P00007,2024-09-21,Withdrawal,163.63,Bank Transfer
TX000202,P00007,2024-03-14,Deposit,24.8,Bank Transfer
TX000203,P00007,2024-03-29,Withdrawal,18.89,Bank Transfer
TX000204,P00007,2024-10-14,Deposit,162.72,Bank Transfer
TX000205,P00007,2024-03-02,Deposit,94.95,Bank Transfer
TX000206,P00007,2024-05-15,Deposit,213.17,Bank Transfer
TX000207,P00007,2024-06-05,Withdrawal,196.07,Bank Transfer
TX000208,P00007,2024-06-12,Deposit,228.99,Bank Transfer
TX000209,P00007,2024-06-30,Withdrawal,331.71,Bank Transfer
TX000210,P00007,2024-02-29,Deposit,87.54,Bank Transfer
TX000211,P00007,2024-03-25,Withdrawal,51.92,Bank Transfer
TX000212,P00007,2024-12-13,Deposit,280.78,Bank Transfer
TX000213,P00007,2024-10-26,Deposit,243.72,Bank Transfer
TX000214,P00007,2024-04-08,Deposit,195.71,Bank Transfer
TX000215,P00007,2024-01-07,Deposit,61.75,Bank Transfer
TX000216,P00007,2024-01-31,Withdrawal,69.63,Bank Transfer
TX000217,P00007,2024-10-15,Deposit,137.52,Bank Transfer
TX000218,P00007,2024-09-08,Deposit,74.16,Bank Transfer
TX000219,P00007,2024-09-17,Withdrawal,86.4,Bank Transfer
TX000220,P00008,2023-12-27,Deposit,1422.45,Bank Transfer
TX000221,P00008,2024-01-02,Withdrawal,1500.14,Bank Transfer
TX000222,P00008,2024-12-20,Deposit,1173.91,Bank Transfer
TX000223,P00008,2024-05-07,Deposit,996.52,Bank Transfer
TX000224,P00008,2024-05-14,Withdrawal,687.26,Bank Transfer
TX000225,P00008,2024-03-23,Deposit,778.07,Bank Transfer
TX000226,P00008,2024-10-10,Deposit,733.52,Bank Transfer
TX000227,P00008,2024-11-09,Withdrawal,715.13,Bank Transfer
TX000228,P00008,2023-07-01,Deposit,296.07,Bank Transfer
TX000229,P00008,2023-12-06,Deposit,880.4,Bank Transfer
TX000230,P00008,2023-12-20,Withdrawal,699.77,Bank Transfer
TX000231,P00008,2023-06-27,Deposit,294.97,Bank Transfer
TX000232,P00008,2024-10-26,Deposit,938.43,Bank Transfer
TX000233,P00008,2024-11-18,Withdrawal,523.12,Bank Transfer
TX000234,P00008,2024-04-27,Deposit,284.03,Bank Transfer
TX000235,P00008,2024-05-26,Withdrawal,285.45,Bank Transfer
TX000236,P00008,2023-08-15,Deposit,1983.5,Bank Transfer
TX000237,P00008,2024-07-17,Deposit,1796.9,Bank Transfer
TX000238,P00008,2024-08-15,Withdrawal,1049.48,Bank Transfer
TX000239,P00008,2023-08-13,Deposit,277.67,Bank Transfer
TX000240,P00008,2023-09-01,Withdrawal,262.2,Bank Transfer
TX000241,P00008,2023-12-16,Deposit,183.92,Bank Transfer
TX000242,P00008,2024-10-19,Deposit,417.37,Bank Transfer
TX000243,P00008,2023-04-20,Deposit,1859.83,Bank Transfer
TX000244,P00008,2023-11-21,Deposit,1611.87,Bank Transfer
TX000245,P00008,2023-07-25,Deposit,268.55,Bank Transfer
TX000246,P00008,2024-11-23,Deposit,627.57,Bank Transfer
TX000247,P00008,2024-04-05,Deposit,1875.84,Bank Transfer
TX000248,P00008,2024-11-03,Deposit,1422.28,Bank Transfer
TX000249,P00008,2024-11-06,Withdrawal,2100.49,Bank Transfer
TX000250,P00008,2024-11-19,Deposit,140.59,Bank Transfer
TX000251,P00008,2024-11-24,Withdrawal,180.91,Bank Transfer
TX000252,P00008,2023-12-09,Deposit,1501.2,Bank Transfer
TX000253,P00008,2023-10-31,Deposit,1671.83,Bank Transfer
TX000254,P00008,2023-11-09,Withdrawal,1426.11,Bank Transfer
TX000255,P00008,2024-07-17,Deposit,528.69,Bank Transfer
TX000256,P00008,2024-07-20,Withdrawal,619.04,Bank Transfer
TX000257,P00008,2023-11-09,Deposit,796.62,Bank Transfer
TX000258,P00008,2024-02-14,Deposit,1686.02,Bank Transfer
TX000259,P00008,2023-06-17,Deposit,1683.88,Bank Transfer
TX000260,P00008,2023-06-29,Withdrawal,520.57,Bank Transfer
TX000261,P00009,2024-12-19,Deposit,169.25,E-Wallet
TX000262,P00009,2024-12-25,Deposit,50.39,E-Wallet
TX000263,P00009,2024-12-22,Deposit,40.5,E-Wallet
TX000264,P00009,2024-12-25,Deposit,84.19,E-Wallet
TX000265,P00009,2024-12-23,Deposit,219.84,E-Wallet
TX000266,P00009,2024-12-29,Deposit,168.64,E-Wallet
TX000267,P00009,2024-12-28,Deposit,271.71,E-Wallet
TX000268,P00009,2024-12-24,Deposit,268.19,E-Wallet
TX000269,P00009,2024-12-27,Withdrawal,387.36,E-Wallet
TX000270,P00009,2024-12-25,Deposit,68.2,E-Wallet
TX000271,P00009,2024-12-26,Deposit,98.17,E-Wallet
TX000272,P00009,2024-12-27,Withdrawal,138.56,E-Wallet
TX000273,P00009,2024-12-31,Deposit,236.11,E-Wallet
TX000274,P00009,2024-12-31,Withdrawal,185.81,E-Wallet
TX000275,P00009,2024-12-25,Deposit,236.32,E-Wallet
TX000276,P00009,2024-12-20,Deposit,264.92,E-Wallet
TX000277,P00009,2024-12-31,Withdrawal,119.78,E-Wallet
TX000278,P00009,2024-12-19,Deposit,84.33,E-Wallet
TX000279,P00009,2024-12-20,Deposit,176.82,E-Wallet
TX000280,P00009,2024-12-29,Deposit,182.59,E-Wallet
TX000281,P00010,2024-05-15,Deposit,54.21,Bank Transfer
TX000282,P00010,2024-08-14,Deposit,80.9,Bank Transfer
TX000283,P00010,2024-08-15,Withdrawal,73.63,Bank Transfer
TX000284,P00010,2024-05-25,Deposit,27.94,Bank Transfer
TX000285,P00011,2024-05-17,Deposit,170.52,Credit Card
TX000286,P00011,2024-05-27,Withdrawal,163.48,Credit Card
TX000287,P00011,2024-10-19,Deposit,69.93,Credit Card
TX000288,P00011,2024-10-31,Deposit,254.61,Credit Card
TX000289,P00011,2024-11-25,Withdrawal,143.76,Credit Card
TX000290,P00011,2024-07-13,Deposit,45.03,Credit Card
TX000291,P00011,2024-07-27,Withdrawal,17.37,Credit Card
TX000292,P00011,2024-08-26,Deposit,197.48,Credit Card
TX000293,P00011,2024-09-19,Withdrawal,135.51,Credit Card
TX000294,P00011,2023-11-15,Deposit,210.77,Credit Card
TX000295,P00011,2024-02-11,Deposit,28.39,Credit Card
TX000296,P00011,2024-09-25,Deposit,27.65,Credit Card
TX000297,P00011,2023-09-04,Deposit,261.61,Credit Card
TX000298,P00011,2023-10-04,Deposit,110.3,Credit Card
TX000299,P00011,2024-10-09,Deposit,198.37,Credit Card
TX000300,P00011,2024-10-31,Withdrawal,104.84,Credit Card
TX000301,P00011,2024-12-22,Deposit,245.5,Credit Card
TX000302,P00011,2024-11-22,Deposit,170.93,Credit Card
TX000303,P00011,2024-09-29,Deposit,196.64,Credit Card
TX000304,P00011,2023-09-05,Deposit,221.38,Credit Card
TX000305,P00012,2024-05-31,Deposit,1377.14,E-Wallet
TX000306,P00012,2024-08-03,Deposit,1326.65,E-Wallet
TX000307,P00012,2024-03-31,Deposit,402.62,E-Wallet
TX000308,P00012,2024-02-02,Deposit,1240.66,E-Wallet
TX000309,P00012,2024-07-20,Deposit,645.65,E-Wallet
TX000310,P00012,2024-12-16,Deposit,245.55,E-Wallet
TX000311,P00012,2024-12-25,Withdrawal,221.41,E-Wallet
TX000312,P00012,2024-12-26,Deposit,180.67,E-Wallet
TX000313,P00012,2023-12-09,Deposit,1063.57,E-Wallet
TX000314,P00012,2023-12-11,Deposit,1238.5,E-Wallet
TX000315,P00012,2023-12-19,Withdrawal,1688.02,E-Wallet
TX000316,P00012,2024-05-30,Deposit,756.17,E-Wallet
TX000317,P00012,2024-05-22,Deposit,1475.41,E-Wallet
TX000318,P00012,2024-05-26,Withdrawal,1160.0,E-Wallet
TX000319,P00012,2024-09-02,Deposit,333.59,E-Wallet
TX000320,P00012,2024-12-31,Deposit,611.88,E-Wallet
TX000321,P00012,2024-12-31,Withdrawal,419.73,E-Wallet
TX000322,P00012,2024-10-22,Deposit,193.1,E-Wallet
TX000323,P00012,2024-02-14,Deposit,1591.77,E-Wallet
TX000324,P00012,2023-12-10,Deposit,1149.83,E-Wallet
TX000325,P00012,2023-12-25,Withdrawal,418.13,E-Wallet
TX000326,P00012,2024-03-04,Deposit,556.74,E-Wallet
TX000327,P00012,2024-09-28,Deposit,1160.7,E-Wallet
TX000328,P00012,2024-12-25,Deposit,1997.61,E-Wallet
TX000329,P00012,2024-12-21,Deposit,1308.87,E-Wallet
TX000330,P00012,2024-08-14,Deposit,451.06,E-Wallet
TX000331,P00012,2024-08-22,Withdrawal,569.41,E-Wallet
TX000332,P00012,2024-01-20,Deposit,1743.98,E-Wallet
TX000333,P00012,2024-02-05,Withdrawal,783.25,E-Wallet
TX000334,P00012,2024-08-29,Deposit,1838.95,E-Wallet
TX000335,P00012,2024-03-31,Deposit,1288.6,E-Wallet
TX000336,P00012,2024-04-27,Withdrawal,1382.07,E-Wallet
TX000337,P00012,2024-08-25,Deposit,1902.05,E-Wallet
TX000338,P00013,2024-12-07,Deposit,23.42,Crypto
TX000339,P00013,2024-09-14,Deposit,55.19,Crypto
TX000340,P00013,2024-09-22,Withdrawal,32.6,Crypto
TX000341,P00013,2024-08-13,Deposit,18.44,Crypto
TX000342,P00013,2024-10-11,Deposit,73.97,Crypto
TX000343,P00014,2024-03-31,Deposit,4372.59,E-Wallet
TX000344,P00014,2024-04-07,Withdrawal,5926.33,E-Wallet
TX000345,P00014,2023-10-02,Deposit,3998.44,E-Wallet
TX000346,P00014,2024-11-13,Deposit,4593.45,E-Wallet
TX000347,P00014,2024-12-13,Withdrawal,5668.11,E-Wallet
TX000348,P00014,2023-08-14,Deposit,4888.67,E-Wallet
TX000349,P00014,2023-08-26,Withdrawal,3177.39,E-Wallet
TX000350,P00014,2024-06-24,Deposit,1988.38,E-Wallet
TX000351,P00014,2024-06-07,Deposit,7697.75,E-Wallet
TX000352,P00014,2023-07-04,Deposit,2272.6,E-Wallet
TX000353,P00014,2024-06-02,Deposit,3729.34,E-Wallet
TX000354,P00014,2024-03-17,Deposit,2320.88,E-Wallet
TX000355,P00014,2023-06-14,Deposit,6852.31,E-Wallet
TX000356,P00014,2024-04-01,Deposit,4406.32,E-Wallet
TX000357,P00014,2024-04-10,Withdrawal,4034.32,E-Wallet
TX000358,P00014,2024-11-15,Deposit,5299.56,E-Wallet
TX000359,P00014,2024-01-08,Deposit,7442.41,E-Wallet
TX000360,P00014,2024-12-11,Deposit,7125.36,E-Wallet
TX000361,P00014,2024-02-28,Deposit,3649.74,E-Wallet
TX000362,P00014,2024-09-09,Deposit,6295.9,E-Wallet
TX000363,P00014,2024-05-04,Deposit,856.64,E-Wallet
TX000364,P00014,2023-07-19,Deposit,9934.7,E-Wallet
TX000365,P00014,2023-07-25,Withdrawal,13906.43,E-Wallet
TX000366,P00014,2023-12-21,Deposit,9712.45,E-Wallet
TX000367,P00014,2023-12-06,Deposit,8370.99,E-Wallet
TX000368,P00014,2023-12-16,Withdrawal,11386.02,E-Wallet
TX000369,P00014,2023-09-24,Deposit,4249.84,E-Wallet
TX000370,P00014,2023-09-28,Withdrawal,5385.13,E-Wallet
TX000371,P00014,2023-08-22,Deposit,1398.46,E-Wallet
TX000372,P00014,2024-11-10,Deposit,4931.28,E-Wallet
TX000373,P00014,2023-09-25,Deposit,5671.59,E-Wallet
TX000374,P00014,2023-12-11,Deposit,2790.42,E-Wallet
TX000375,P00014,2024-01-01,Withdrawal,1500.1,E-Wallet
TX000376,P00014,2023-12-29,Deposit,1779.72,E-Wallet
TX000377,P00014,2024-01-08,Deposit,872.51,E-Wallet
TX000378,P00014,2023-06-26,Deposit,7371.93,E-Wallet
TX000379,P00014,2024-10-20,Deposit,5218.33,E-Wallet
TX000380,P00014,2024-06-23,Deposit,1405.42,E-Wallet
TX000381,P00014,2024-07-11,Deposit,7899.68,E-Wallet
TX000382,P00014,2024-11-09,Deposit,8972.33,E-Wallet
TX000383,P00014,2024-11-14,Withdrawal,4938.77,E-Wallet
TX000384,P00014,2023-06-18,Deposit,9974.0,E-Wallet
TX000385,P00014,2023-06-21,Withdrawal,6996.82,E-Wallet
TX000386,P00014,2024-07-19,Deposit,1564.14,E-Wallet
TX000387,P00014,2024-08-07,Withdrawal,1452.53,E-Wallet
TX000388,P00014,2023-06-04,Deposit,2821.67,E-Wallet
TX000389,P00014,2024-09-16,Deposit,6549.92,E-Wallet
TX000390,P00014,2024-03-07,Deposit,8318.89,E-Wallet
TX000391,P00014,2024-07-20,Deposit,9208.39,E-Wallet
TX000392,P00014,2023-12-26,Deposit,4221.73,E-Wallet
TX000393,P00014,2024-05-10,Deposit,1772.3,E-Wallet
TX000394,P00014,2024-05-19,Withdrawal,1815.6,E-Wallet
TX000395,P00014,2023-09-25,Deposit,8773.0,E-Wallet
TX000396,P00014,2024-12-30,Deposit,3224.94,E-Wallet
TX000397,P00014,2024-01-08,Deposit,2697.82,E-Wallet
TX000398,P00014,2024-05-07,Deposit,8461.62,E-Wallet
TX000399,P00014,2024-07-12,Deposit,2349.71,E-Wallet
TX000400,P00014,2023-10-30,Deposit,9445.2,E-Wallet
TX000401,P00014,2024-10-20,Deposit,1904.88,E-Wallet
TX000402,P00014,2024-10-28,Withdrawal,1337.66,E-Wallet
TX000403,P00014,2024-07-23,Deposit,1229.07,E-Wallet
TX000404,P00014,2024-07-24,Withdrawal,1394.38,E-Wallet
TX000405,P00014,2024-03-18,Deposit,1735.5,E-Wallet
TX000406,P00014,2023-07-04,Deposit,8381.04,E-Wallet
TX000407,P00014,2024-05-01,Deposit,2757.66,E-Wallet
TX000408,P00014,2024-08-02,Deposit,4636.03,E-Wallet
TX000409,P00014,2023-07-08,Deposit,5433.72,E-Wallet
TX000410,P00014,2023-07-31,Withdrawal,2469.86,E-Wallet
TX000411,P00014,2023-06-09,Deposit,9419.03,E-Wallet
TX000412,P00014,2023-07-17,Deposit,5442.44,E-Wallet
TX000413,P00014,2023-07-29,Withdrawal,4230.93,E-Wallet
TX000414,P00014,2023-08-20,Deposit,8272.64,E-Wallet
TX000415,P00014,2024-06-20,Deposit,1962.92,E-Wallet
TX000416,P00014,2024-04-14,Deposit,9432.94,E-Wallet
TX000417,P00014,2024-05-14,Withdrawal,4816.55,E-Wallet
