session_id,player_id,session_date,game_type,total_bets,total_wins,ggr,duration_minutes
S0000078,P00003,2024-10-18,Sports Betting,38.17,37.61,0.56,42
S0000079,P00004,2023-06-17,Table Games,32.56,31.53,1.03,21
S0000080,P00004,2023-07-13,Table Games,17.35,16.7,0.65,154
S0000081,P00004,2024-10-04,Live Casino,22.71,22.16,0.55,78
S0000082,P00004,2023-04-19,Table Games,11.96,11.63,0.33,127
S0000083,P00004,2024-08-28,Table Games,46.49,45.92,0.57,25
S0000084,P00004,2023-02-20,Table Games,5.22,5.14,0.08,148
S0000085,P00004,2023-09-27,Poker,23.15,21.8,1.35,66
S0000086,P00005,2024-08-13,Table Games,2770.05,2702.72,67.33,121
S0000087,P00005,2024-06-24,Table Games,744.99,732.17,12.82,76
S0000088,P00005,2024-08-11,Slots,2365.75,2146.92,218.83,107
S0000089,P00005,2024-05-25,Table Games,4191.61,4145.51,46.1,137
S0000090,P00005,2024-12-14,Live Casino,897.47,876.45,21.02,34
S0000091,P00005,2024-07-06,Table Games,442.98,427.08,15.9,96
S0000092,P00005,2024-11-05,Sports Betting,3987.8,4003.76,-15.96,132
S0000093,P00005,2024-05-22,Poker,4680.56,4570.11,110.45,36
S0000094,P00005,2024-12-20,Sports Betting,979.08,852.18,126.9,132
S0000095,P00005,2024-01-20,Table Games,3990.2,3912.64,77.56,139
S0000096,P00005,2023-12-21,Table Games,2450.81,2382.98,67.83,36
S0000097,P00005,2024-07-22,Table Games,2353.81,2266.61,87.2,7
S0000098,P00005,2024-06-25,Table Games,4319.63,4174.64,144.99,117
S0000099,P00005,2024-10-13,Slots,938.9,857.69,81.21,173
S0000100,P00005,2024-03-06,Table Games,245.63,237.92,7.71,40
S0000101,P00005,2024-01-27,Table Games,3416.42,3373.3,43.12,133
S0000102,P00005,2024-12-29,Slots,2467.49,2239.27,228.22,71
S0000103,P00005,2024-05-20,Sports Betting,2120.6,2140.98,-20.38,161
S0000104,P00005,2024-07-13,Table Games,369.08,362.06,7.02,13
S0000105,P00005,2024-02-03,Table Games,1622.66,1580.91,41.75,29
S0000106,P00005,2024-07-28,Table Games,3172.87,3062.49,110.38,138
S0000107,P00005,2024-02-15,Table Games,1511.65,1490.99,20.66,9
S0000108,P00005,2024-07-14,Table Games,934.44,905.85,28.59,166
S0000109,P00005,2024-01-22,Table Games,928.58,893.46,35.12,65
S0000110,P00005,2023-12-22,Poker,2987.54,2874.7,112.84,32
S0000111,P00005,2024-03-02,Table Games,316.82,309.35,7.47,89
S0000112,P00005,2024-05-09,Table Games,3663.81,3615.28,48.53,44
S0000113,P00005,2024-05-26,Table Games,1799.75,1738.1,61.65,36
S0000114,P00005,2024-09-30,Table Games,2189.5,2161.08,28.42,175
S0000115,P00005,2024-03-08,Live Casino,269.07,257.13,11.94,169
S0000116,P00005,2024-06-07,Poker,4362.23,4173.7,188.53,131
S0000117,P00005,2024-03-27,Table Games,1136.21,1119.96,16.25,18
S0000118,P00005,2024-03-01,Table Games,1156.58,1125.69,30.89,107
S0000119,P00005,2024-08-10,Live Casino,4665.15,4558.04,107.11,173
S0000120,P00005,2024-09-15,Slots,3714.9,3487.92,226.98,13
S0000121,P00005,2024-12-10,Table Games,473.23,465.72,7.51,132
S0000122,P00005,2024-12-04,Table Games,3917.07,3871.52,45.55,69
S0000123,P00005,2024-08-11,Table Games,1130.74,1109.21,21.53,94
S0000124,P00005,2024-12-05,Poker,3367.78,3171.75,196.03,157
S0000125,P00005,2024-03-26,Table Games,521.95,509.92,12.03,109
S0000126,P00005,2024-06-15,Table Games,1300.4,1254.73,45.67,174
S0000127,P00005,2023-12-20,Table Games,2584.65,2494.54,90.11,7
S0000128,P00005,2024-11-17,Table Games,2109.08,2062.41,46.67,84
S0000129,P00005,2024-04-10,Poker,4892.99,4652.75,240.24,176
S0000130,P00005,2024-12-27,Table Games,3909.06,3848.22,60.84,150
S0000131,P00005,2024-06-05,Table Games,2937.35,2847.61,89.74,8
S0000132,P00005,2024-07-04,Table Games,3349.63,3243.75,105.88,34
S0000133,P00005,2024-01-01,Poker,4155.83,4064.9,90.93,125
S0000134,P00005,2024-08-27,Slots,721.1,690.64,30.46,135
S0000135,P00005,2024-09-01,Table Games,2389.03,2345.41,43.62,142
S0000136,P00005,2024-12-16,Table Games,4251.29,4149.78,101.51,96
S0000137,P00005,2024-09-07,Table Games,3372.36,3259.85,112.51,149
S0000138,P00005,2024-03-15,Slots,1348.19,1263.75,84.44,71
S0000139,P00005,2024-10-31,Table Games,4606.38,4456.86,149.52,88
S0000140,P00005,2024-09-11,Table Games,3619.18,3488.09,131.09,138
S0000141,P00005,2024-07-24,Table Games,942.89,927.4,15.49,134
S0000142,P00006,2024-06-16,Slots,93.52,89.66,3.86,165
S0000143,P00006,2024-11-09,Table Games,124.53,120.65,3.88,40
S0000144,P00006,2024-04-27,Slots,255.64,246.33,9.31,123
S0000145,P00006,2024-04-30,Slots,777.72,706.6,71.12,153
S0000146,P00006,2024-04-23,Slots,431.86,411.16,20.7,115
S0000147,P00006,2024-12-15,Slots,643.66,602.05,41.61,79
S0000148,P00006,2024-11-03,Slots,255.88,236.42,19.46,67
S0000149,P00006,2024-12-08,Live Casino,466.08,444.16,21.92,60
S0000150,P00006,2024-12-01,Poker,603.54,584.07,19.47,51
S0000151,P00006,2024-05-16,Slots,576.25,547.37,28.88,157
S0000152,P00006,2024-05-05,Slots,327.3,317.22,10.08,85
S0000153,P00006,2024-12-17,Sports Betting,247.59,244.58,3.01,167
S0000154,P00006,2024-10-02,Slots,216.28,199.82,16.46,42
S0000155,P00006,2024-05-30,Slots,926.56,880.73,45.83,23
S0000156,P00006,2024-11-08,Poker,782.84,757.11,25.73,118
S0000157,P00006,2024-08-28,Poker,208.16,202.91,5.25,6
S0000158,P00006,2024-08-27,Slots,142.68,132.8,9.88,114
S0000159,P00006,2024-08-31,Slots,489.85,466.23,23.62,172
S0000160,P00006,2024-10-27,Sports Betting,203.44,190.48,12.96,87
S0000161,P00006,2024-10-17,Slots,503.2,462.61,40.59,160
S0000162,P00006,2024-07-14,Sports Betting,508.49,460.09,48.4,95
S0000163,P00006,2024-11-09,Slots,767.95,730.25,37.7,131
S0000164,P00006,2024-10-01,Slots,540.3,493.04,47.26,101
S0000165,P00006,2024-07-19,Slots,367.2,344.07,23.13,18
S0000166,P00006,2024-07-30,Slots,570.91,524.02,46.89,51
S0000167,P00006,2024-12-13,Slots,279.88,270.11,9.77,125
S0000168,P00006,2024-10-03,Slots,660.75,597.71,63.04,62
S0000169,P00006,2024-09-06,Slots,520.86,471.34,49.52,118
S0000170,P00006,2024-11-23,Poker,656.83,618.57,38.26,81
S0000171,P00006,2024-05-31,Sports Betting,988.04,942.6,45.44,18
S0000172,P00006,2024-11-19,Poker,840.58,809.83,30.75,7
S0000173,P00006,2024-12-21,Slots,690.5,622.85,67.65,66
S0000174,P00006,2024-11-01,Sports Betting,869.38,871.65,-2.27,84
S0000175,P00006,2024-05-06,Slots,400.08,363.08,37.0,41
S0000176,P00006,2024-11-13,Slots,699.5,634.9,64.6,143
S0000177,P00006,2024-11-27,Live Casino,556.93,538.08,18.85,151
S0000178,P00006,2024-11-19,Poker,438.12,423.31,14.81,158
S0000179,P00006,2024-07-10,Slots,442.66,404.15,38.51,84
S0000180,P00006,2024-07-10,Slots,201.84,194.12,7.72,18
S0000181,P00006,2024-06-10,Slots,160.02,150.72,9.3,142
S0000182,P00006,2024-04-29,Slots,664.54,630.17,34.37,178
S0000183,P00006,2024-11-08,Slots,755.35,719.89,35.46,162
S0000184,P00006,2024-08-04,Slots,234.3,217.89,16.41,120
S0000185,P00006,2024-07-09,Poker,62.17,59.0,3.17,68
S0000186,P00006,2024-08-22,Sports Betting,89.18,84.23,4.95,77
S0000187,P00006,2024-07-17,Slots,413.43,399.7,13.73,13
S0000188,P00006,2024-08-19,Poker,287.35,279.5,7.85,59
S0000189,P00006,2024-05-07,Slots,414.66,381.02,33.64,36
S0000190,P00006,2024-06-17,Slots,821.68,785.17,36.51,14
S0000191,P00006,2024-08-13,Poker,905.1,868.86,36.24,170
S0000192,P00006,2024-10-30,Slots,628.01,590.61,37.4,154
S0000193,P00006,2024-06-16,Slots,766.25,703.1,63.15,82
S0000194,P00006,2024-05-09,Live Casino,203.92,197.75,6.17,92
S0000195,P00006,2024-12-19,Poker,133.3,130.38,2.92,46
S0000196,P00006,2024-11-15,Slots,273.13,248.71,24.42,27
S0000197,P00006,2024-06-18,Slots,798.63,726.38,72.25,168
S0000198,P00007,2024-07-30,Live Casino,110.7,107.65,3.05,73
S0000199,P00007,2024-09-22,Live Casino,33.46,32.91,0.55,118
S0000200,P00007,2024-06-05,Live Casino,26.95,25.75,1.2,16
S0000201,P00007,2024-08-16,Live Casino,70.24,68.54,1.7,49
S0000202,P00007,2024-01-18,Slots,99.87,92.23,7.64,144
S0000203,P00007,2024-11-05,Live Casino,27.28,26.55,0.73,36
S0000204,P00007,2024-02-19,Live Casino,119.36,115.72,3.64,151
S0000205,P00007,2024-03-05,Live Casino,189.94,186.77,3.17,173
S0000206,P00007,2024-05-01,Live Casino,50.42,49.05,1.37,5
S0000207,P00007,2024-10-03,Live Casino,151.63,145.41,6.22,45
S0000208,P00007,2024-05-10,Slots,163.63,147.71,15.92,45
S0000209,P00007,2024-02-01,Live Casino,181.33,176.13,5.2,63
S0000210,P00008,2024-02-05,Live Casino,414.27,403.92,10.35,162
S0000211,P00008,2024-07-17,Table Games,883.44,871.41,12.03,85
S0000212,P00008,2023-07-28,Live Casino,168.32,161.95,6.37,96
S0000213,P00008,2024-05-25,Live Casino,205.29,196.16,9.13,97
S0000214,P00008,2024-01-19,Live Casino,278.63,271.01,7.62,16
S0000215,P00008,2023-08-15,Live Casino,658.32,649.05,9.27,72
S0000216,P00008,2024-12-30,Live Casino,899.75,873.25,26.5,121
S0000217,P00008,2024-01-11,Live Casino,312.39,297.95,14.44,158
S0000218,P00008,2023-06-04,Live Casino,782.4,770.48,11.92,23
S0000219,P00008,2024-02-06,Live Casino,256.18,245.27,10.91,12
S0000220,P00008,2023-06-30,Live Casino,885.69,843.64,42.05,178
S0000221,P00008,2024-10-12,Live Casino,294.23,290.51,3.72,10
S0000222,P00008,2024-08-30,Live Casino,564.84,547.38,17.46,111
S0000223,P00008,2023-08-17,Table Games,419.22,412.53,6.69,101
S0000224,P00008,2024-01-11,Live Casino,650.15,627.51,22.64,85
S0000225,P00008,2023-05-02,Live Casino,324.81,320.25,4.56,142
S0000226,P00008,2023-07-05,Live Casino,295.96,285.58,10.38,178
S0000227,P00008,2023-07-11,Live Casino,405.45,400.92,4.53,21
S0000228,P00008,2023-09-23,Live Casino,994.36,972.12,22.24,82
S0000229,P00008,2024-01-28,Live Casino,205.89,202.87,3.02,31
S0000230,P00008,2023-06-15,Slots,162.5,150.98,11.52,34
S0000231,P00008,2024-04-18,Live Casino,52.99,51.21,1.78,34
S0000232,P00008,2024-11-12,Live Casino,772.38,742.7,29.68,87
S0000233,P00008,2024-01-07,Poker,238.98,231.56,7.42,125
S0000234,P00008,2024-09-21,Poker,946.39,922.87,23.52,127
S0000235,P00008,2024-07-07,Live Casino,493.74,479.38,14.36,13
S0000236,P00008,2024-06-22,Live Casino,987.72,964.34,23.38,118
S0000237,P00008,2024-06-10,Live Casino,768.74,737.2,31.54,104
S0000238,P00008,2024-10-03,Live Casino,935.4,894.24,41.16,51
S0000239,P00008,2023-05-28,Live Casino,438.31,430.3,8.01,125
S0000240,P00008,2024-07-31,Live Casino,992.13,952.55,39.58,11
S0000241,P00008,2024-12-10,Live Casino,680.65,660.92,19.73,61
S0000242,P00008,2024-06-12,Table Games,526.46,514.04,12.42,75
S0000243,P00008,2024-05-27,Live Casino,434.87,420.21,14.66,67
S0000244,P00008,2024-01-06,Live Casino,649.64,639.04,10.6,82
S0000245,P00008,2023-07-22,Live Casino,945.12,930.5,14.62,24
S0000246,P00008,2023-12-08,Slots,105.3,96.96,8.34,120
S0000247,P00008,2024-09-14,Live Casino,731.68,704.63,27.05,147
S0000248,P00008,2024-04-28,Live Casino,469.17,452.08,17.09,6
S0000249,P00008,2024-11-19,Table Games,61.76,60.24,1.52,19
S0000250,P00008,2024-02-24,Live Casino,848.45,815.62,32.83,97
S0000251,P00008,2024-11-21,Live Casino,583.7,557.99,25.71,50
S0000252,P00009,2024-12-19,Poker,18.71,17.64,1.07,114
S0000253,P00009,2024-12-23,Sports Betting,113.0,103.03,9.97,107
S0000254,P00009,2024-12-27,Poker,142.81,137.13,5.68,156
S0000255,P00009,2024-12-23,Slots,164.51,154.46,10.05,71
S0000256,P00009,2024-12-24,Poker,117.37,111.79,5.58,98
S0000257,P00009,2024-12-27,Poker,27.68,26.87,0.81,124
S0000258,P00009,2024-12-23,Poker,171.17,163.35,7.82,43
S0000259,P00009,2024-12-27,Poker,36.85,35.73,1.12,138
S0000260,P00009,2024-12-26,Poker,110.25,106.11,4.14,53
S0000261,P00009,2024-12-21,Poker,59.51,56.06,3.45,75
S0000262,P00009,2024-12-26,Poker,55.84,53.52,2.32,44
S0000263,P00009,2024-12-26,Sports Betting,46.73,40.17,6.56,33
S0000264,P00009,2024-12-21,Poker,50.38,48.63,1.75,83
S0000265,P00009,2024-12-21,Poker,160.9,155.43,5.47,164
S0000266,P00009,2024-12-21,Poker,132.64,125.4,7.24,111
S0000267,P00009,2024-12-28,Poker,113.79,110.5,3.29,154
S0000268,P00010,2024-06-13,Live Casino,6.92,6.74,0.18,29
S0000269,P00010,2024-08-23,Live Casino,28.44,27.1,1.34,110
S0000270,P00010,2024-10-12,Live Casino,6.28,6.14,0.14,14
S0000271,P00010,2024-12-25,Slots,4.26,3.98,0.28,85
S0000272,P00010,2024-10-18,Slots,44.45,40.96,3.49,123
S0000273,P00010,2024-09-04,Live Casino,38.91,38.07,0.84,113
S0000274,P00010,2024-12-09,Live Casino,28.79,27.79,1.0,106
S0000275,P00010,2024-08-23,Table Games,42.26,40.75,1.51,107
S0000276,P00011,2024-10-27,Table Games,82.08,80.88,1.2,132
S0000277,P00011,2024-10-27,Poker,126.67,119.43,7.24,32
S0000278,P00011,2024-07-14,Sports Betting,26.49,25.14,1.35,151
S0000279,P00011,2024-12-11,Table Games,193.22,190.75,2.47,117
S0000280,P00011,2024-07-14,Table Games,14.59,14.04,0.55,83
S0000281,P00011,2024-11-13,Table Games,157.71,155.51,2.2,11
S0000282,P00011,2024-05-07,Table Games,39.01,37.85,1.16,143
S0000283,P00011,2024-05-18,Slots,117.52,113.0,4.52,14
S0000284,P00011,2024-05-31,Table Games,171.38,165.69,5.69,68
S0000285,P00012,2024-12-22,Sports Betting,853.29,892.23,-38.94,49
S0000286,P00012,2024-12-14,Sports Betting,689.52,602.98,86.54,147
S0000287,P00012,2024-02-28,Sports Betting,95.29,100.04,-4.75,133
S0000288,P00012,2024-02-14,Sports Betting,391.55,369.6,21.95,113
S0000289,P00012,2024-02-13,Slots,107.24,103.13,4.11,63
S0000290,P00012,2024-02-12,Sports Betting,912.33,794.9,117.43,95
S0000291,P00012,2024-05-02,Sports Betting,646.11,652.95,-6.84,126
S0000292,P00012,2024-09-21,Sports Betting,101.24,97.13,4.11,76
S0000293,P00012,2024-12-27,Sports Betting,652.96,563.22,89.74,39
S0000294,P00012,2024-02-17,Sports Betting,496.63,500.82,-4.19,156
S0000295,P00012,2023-12-02,Sports Betting,107.1,94.08,13.02,5
S0000296,P00012,2024-12-31,Slots,862.29,835.72,26.57,95
S0000297,P00012,2024-09-25,Sports Betting,633.49,591.62,41.87,88
S0000298,P00012,2024-09-03,Sports Betting,728.97,734.14,-5.17,45
S0000299,P00012,2024-01-20,Sports Betting,982.82,978.32,4.5,137
S0000300,P00012,2024-01-29,Table Games,676.51,650.73,25.78,112
S0000301,P00012,2023-11-25,Sports Betting,864.09,748.55,115.54,154
S0000302,P00012,2024-12-02,Live Casino,917.89,873.93,43.96,90
S0000303,P00012,2024-05-08,Sports Betting,392.93,408.14,-15.21,171
S0000304,P00012,2024-02-14,Sports Betting,479.35,485.34,-5.99,161
S0000305,P00012,2024-10-12,Slots,593.53,541.83,51.7,74
S0000306,P00012,2024-09-24,Sports Betting,250.95,249.86,1.09,28
S0000307,P00012,2024-03-11,Sports Betting,254.82,246.97,7.85,143
S0000308,P00012,2024-08-02,Poker,236.52,226.19,10.33,102
S0000309,P00012,2024-10-25,Sports Betting,57.7,50.72,6.98,72
S0000310,P00012,2024-11-08,Sports Betting,402.15,342.7,59.45,101
S0000311,P00012,2024-03-08,Sports Betting,104.74,100.34,4.4,15
S0000312,P00012,2024-02-08,Sports Betting,525.03,541.34,-16.31,94
S0000313,P00012,2024-02-08,Sports Betting,590.09,569.39,20.7,137
S0000314,P00012,2024-04-08,Sports Betting,765.9,746.34,19.56,49
S0000315,P00012,2024-06-30,Sports Betting,371.41,331.49,39.92,56
S0000316,P00012,2024-06-21,Poker,231.09,218.59,12.5,48
S0000317,P00012,2024-02-24,Sports Betting,123.14,105.89,17.25,113
S0000318,P00012,2024-05-21,Sports Betting,886.42,899.41,-12.99,167
S0000319,P00012,2023-12-13,Sports Betting,700.43,671.43,29.0,28
S0000320,P00012,2024-02-06,Sports Betting,858.61,820.99,37.62,75
S0000321,P00012,2024-02-04,Sports Betting,216.22,220.67,-4.45,118
S0000322,P00012,2024-11-20,Sports Betting,68.61,68.56,0.05,33
S0000323,P00012,2024-03-08,Slots,218.03,200.89,17.14,106
S0000324,P00012,2024-01-06,Sports Betting,735.3,664.84,70.46,114
S0000325,P00012,2024-07-19,Sports Betting,843.4,883.02,-39.62,89
S0000326,P00012,2024-06-24,Sports Betting,435.09,377.98,57.11,91
S0000327,P00012,2024-04-15,Sports Betting,206.74,195.0,11.74,36
S0000328,P00012,2024-04-24,Slots,955.42,915.55,39.87,44
S0000329,P00012,2024-07-12,Table Games,411.79,402.2,9.59,25
S0000330,P00012,2024-10-01,Table Games,561.23,547.91,13.32,156
S0000331,P00012,2023-12-13,Sports Betting,243.68,225.07,18.61,168
S0000332,P00012,2023-12-17,Sports Betting,528.49,512.93,15.56,180
S0000333,P00012,2024-10-24,Live Casino,233.37,221.76,11.61,94
S0000334,P00012,2024-09-29,Sports Betting,729.56,706.91,22.65,146
S0000335,P00012,2024-07-18,Sports Betting,117.91,101.51,16.4,37
S0000336,P00012,2024-07-14,Sports Betting,512.64,533.44,-20.8,21
S0000337,P00012,2024-04-30,Sports Betting,169.82,158.0,11.82,104
S0000338,P00012,2024-09-22,Sports Betting,335.56,290.39,45.17,56
S0000339,P00012,2024-06-04,Slots,349.17,333.95,15.22,26
S0000340,P00012,2023-12-03,Sports Betting,368.2,361.17,7.03,33
S0000341,P00012,2024-06-02,Table Games,120.72,118.3,2.42,89
S0000342,P00012,2024-01-19,Sports Betting,783.5,796.73,-13.23,51
S0000343,P00012,2024-09-08,Sports Betting,309.93,291.93,18.0,47
S0000344,P00012,2024-01-18,Sports Betting,114.92,101.78,13.14,10
S0000345,P00012,2024-05-12,Sports Betting,828.36,855.16,-26.8,97
S0000346,P00012,2023-11-21,Sports Betting,218.25,206.32,11.93,172
S0000347,P00012,2024-09-16,Sports Betting,327.17,307.89,19.28,88
S0000348,P00012,2024-12-06,Sports Betting,591.69,506.32,85.37,68
S0000349,P00012,2024-11-30,Sports Betting,700.63,620.02,80.61,78
S0000350,P00012,2024-11-07,Sports Betting,661.99,629.17,32.82,25
S0000351,P00012,2023-11-25,Sports Betting,931.72,949.72,-18.0,13
S0000352,P00012,2024-06-02,Sports Betting,785.53,819.7,-34.17,157
S0000353,P00012,2023-12-28,Sports Betting,620.31,574.58,45.73,18
S0000354,P00012,2024-10-11,Sports Betting,561.97,557.61,4.36,130
S0000355,P00012,2024-10-22,Sports Betting,848.77,838.06,10.71,140
S0000356,P00013,2024-09-28,Slots,22.74,21.51,1.23,17
S0000357,P00013,2024-10-09,Table Games,45.66,43.98,1.68,102
S0000358,P00013,2024-11-01,Sports Betting,24.1,22.01,2.09,60
S0000359,P00013,2024-08-31,Table Games,30.97,29.99,0.98,68
S0000360,P00013,2024-12-13,Sports Betting,41.9,37.83,4.07,47
S0000361,P00013,2024-10-27,Sports Betting,2.92,3.06,-0.14,7
S0000362,P00013,2024-10-13,Sports Betting,21.67,20.73,0.94,180
S0000363,P00013,2024-10-05,Sports Betting,33.31,31.67,1.64,166
S0000364,P00013,2024-12-23,Sports Betting,9.68,10.07,-0.39,122
S0000365,P00013,2024-11-27,Sports Betting,2.97,2.66,0.31,111
S0000366,P00014,2024-06-30,Slots,4552.11,4364.16,187.95,86
S0000367,P00014,2024-04-19,Slots,3126.33,2983.6,142.73,21
S0000368,P00014,2024-05-15,Slots,399.87,366.61,33.26,125
S0000369,P00014,2024-06-17,Slots,979.59,932.75,46.84,102
S0000370,P00014,2023-11-07,Table Games,4918.2,4801.76,116.44,119
S0000371,P00014,2024-04-11,Sports Betting,2657.15,2646.53,10.62,160
S0000372,P00014,2024-07-07,Slots,600.95,575.11,25.84,138
S0000373,P00014,2023-07-20,Slots,209.32,193.44,15.88,24
S0000374,P00014,2024-07-27,Table Games,4424.02,4270.54,153.48,123
S0000375,P00014,2023-09-01,Slots,3107.57,2987.01,120.56,36
S0000376,P00014,2024-12-28,Slots,4142.14,3744.51,397.63,74
S0000377,P00014,2024-06-25,Slots,451.18,408.69,42.49,134
S0000378,P00014,2024-09-14,Slots,310.93,296.6,14.33,71
S0000379,P00014,2024-12-28,Slots,1967.97,1812.01,155.96,126
S0000380,P00014,2024-05-21,Sports Betting,4615.65,4409.54,206.11,12
S0000381,P00014,2023-09-27,Slots,2107.34,1964.42,142.92,177
S0000382,P00014,2023-11-29,Slots,3351.25,3225.53,125.72,49
S0000383,P00014,2024-01-28,Slots,2847.94,2583.9,264.04,39
S0000384,P00014,2023-07-10,Slots,532.13,498.97,33.16,126
S0000385,P00014,2024-05-02,Slots,3875.27,3609.84,265.43,9
S0000386,P00014,2024-10-22,Slots,3487.79,3264.93,222.86,65
S0000387,P00014,2024-05-31,Poker,2700.37,2548.51,151.86,175
S0000388,P00014,2023-10-11,Table Games,3294.87,3218.95,75.92,38
S0000389,P00014,2024-10-18,Live Casino,3689.41,3522.67,166.74,73
S0000390,P00014,2023-06-30,Live Casino,1891.54,1799.5,92.04,51
S0000391,P00014,2023-09-28,Slots,4031.57,3653.16,378.41,56
