player_id,registration_date,country,segment,status,preferred_game,deposit_method,last_login,kyc_verified
P00036,2023-08-29,Nigeria,Regular,Inactive,Live Casino,Credit Card,2024-11-26,Yes
P00037,2024-08-20,Brazil,Casual,Inactive,Live Casino,Bank Transfer,2024-09-29,Yes
P00038,2024-11-18,India,Casual,Inactive,Slots,Credit Card,2024-11-25,Yes
P00039,2023-04-13,Finland,Whale,Active,Table Games,E-Wallet,2024-12-20,No
P00040,2023-09-08,Sweden,VIP,Active,Poker,Bank Transfer,2024-12-19,Yes
P00041,2024-10-31,Finland,Whale,Active,Table Games,Credit Card,2024-12-27,No
P00042,2023-04-29,Brazil,Casual,Dormant,Table Games,E-Wallet,2023-10-05,Yes
P00043,2024-10-11,Finland,Casual,Dormant,Sports Betting,Bank Transfer,2024-10-11,No
P00044,2023-04-05,UK,VIP,Inactive,Slots,Bank Transfer,2024-01-13,No
P00045,2023-09-26,Finland,Regular,Active,Sports Betting,Credit Card,2024-12-24,Yes
P00046,2024-12-08,Finland,VIP,Dormant,Slots,Bank Transfer,2024-12-08,Yes
P00047,2023-05-11,UK,Casual,Active,Table Games,E-Wallet,2024-12-22,Yes
P00048,2023-12-29,Nigeria,Regular,Dormant,Live Casino,E-Wallet,2024-07-24,No
P00049,2023-07-01,Malta,Whale,Dormant,Table Games,Crypto,2023-07-13,No
P00050,2023-09-12,Germany,VIP,Active,Sports Betting,Credit Card,2024-12-29,No
P00051,2024-04-16,Cyprus,Casual,Active,Live Casino,Credit Card,2024-12-30,Yes
P00052,2023-10-13,India,Casual,Dormant,Poker,Crypto,2024-03-03,Yes
P00053,2023-12-06,Brazil,VIP,Dormant,Live Casino,Bank Transfer,2024-02-03,Yes
P00054,2023-12-20,Canada,Regular,Self-Excluded,Poker,Credit Card,2024-05-28,Yes
P00055,2023-09-18,UK,Regular,Active,Poker,E-Wallet,2024-12-23,Yes
P00056,2024-11-11,Nigeria,Casual,Dormant,Table Games,Credit Card,2024-11-11,Yes
P00057,2023-11-13,Canada,Casual,Self-Excluded,Table Games,E-Wallet,2024-04-28,Yes
P00058,2024-01-24,Nigeria,Regular,Self-Excluded,Poker,Bank Transfer,2024-04-22,Yes
P00059,2023-11-08,Nigeria,VIP,Active,Poker,Bank Transfer,2024-12-23,Yes
P00060,2023-08-07,Malta,Casual,Inactive,Slots,Bank Transfer,2024-09-16,Yes
P00061,2023-12-10,Cyprus,Regular,Active,Table Games,E-Wallet,2024-12-29,No
P00062,2023-02-17,Nigeria,Casual,Active,Slots,Crypto,2024-12-24,Yes
P00063,2023-07-19,Sweden,Regular,Self-Excluded,Sports Betting,E-Wallet,2024-01-31,Yes
P00064,2023-04-20,Malta,Regular,Dormant,Poker,Crypto,2023-11-30,Yes
P00065,2023-05-05,Finland,Casual,Inactive,Poker,Bank Transfer,2024-08-22,No
P00066,2024-09-19,Canada,VIP,Self-Excluded,Poker,Crypto,2024-11-22,No
P00067,2024-05-01,Cyprus,Regular,Inactive,Table Games,Crypto,2024-11-09,Yes
P00068,2023-03-21,Brazil,Casual,Self-Excluded,Table Games,Bank Transfer,2023-11-16,No
P00069,2023-06-04,Malta,Casual,Active,Live Casino,Credit Card,2024-12-28,Yes
P00070,2024-04-22,Canada,Casual,Inactive,Sports Betting,Credit Card,2024-06-13,No
P00071,2024-01-25,Brazil,Regular,Inactive,Sports Betting,Crypto,2024-07-23,Yes
P00072,2024-09-09,Cyprus,Regular,Dormant,Table Games,Crypto,2024-09-24,Yes
P00073,2024-11-15,Malta,Casual,Self-Excluded,Sports Betting,E-Wallet,2024-11-27,No
P00074,2024-02-08,Germany,Regular,Inactive,Sports Betting,E-Wallet,2024-02-21,No
P00075,2023-09-24,Sweden,Casual,Inactive,Table Games,Bank Transfer,2024-01-10,No
P00076,2024-03-07,Sweden,Casual,Active,Slots,Credit Card,2024-12-18,No
P00077,2024-10-27,UK,Casual,Active,Slots,E-Wallet,2024-12-27,Yes
P00078,2023-06-06,Germany,Casual,Active,Poker,E-Wallet,2024-12-24,Yes
P00079,2024-01-13,Germany,Casual,Active,Live Casino,Bank Transfer,2024-12-26,Yes
P00080,2023-11-16,Canada,Casual,Inactive,Live Casino,Credit Card,2024-05-26,Yes
P00081,2023-09-06,Brazil,VIP,Active,Poker,Credit Card,2024-12-29,No
P00082,2023-02-12,India,Regular,Active,Slots,Bank Transfer,2024-12-23,Yes
P00083,2024-05-16,Sweden,Casual,Active,Live Casino,Crypto,2024-12-22,Yes
P00084,2024-10-28,Finland,Regular,Active,Sports Betting,Crypto,2024-12-29,Yes
P00085,2023-10-02,Germany,Regular,Active,Table Games,Crypto,2024-12-20,Yes
P00086,2024-09-16,UK,Casual,Self-Excluded,Sports Betting,Bank Transfer,2024-10-29,Yes
P00087,2023-09-22,Nigeria,Casual,Active,Table Games,Credit Card,2024-12-31,Yes
P00088,2023-09-05,Finland,Casual,Self-Excluded,Live Casino,Crypto,2024-05-12,Yes
P00089,2023-01-18,Canada,Casual,Active,Live Casino,Bank Transfer,2024-12-20,Yes
P00090,2024-07-20,Finland,Casual,Inactive,Table Games,Bank Transfer,2024-11-05,Yes
P00091,2023-09-15,Cyprus,Casual,Active,Table Games,Credit Card,2024-12-28,Yes
P00092,2024-12-07,Sweden,Whale,Active,Table Games,Bank Transfer,2024-12-20,No
P00093,2023-10-31,Brazil,VIP,Active,Slots,E-Wallet,2024-12-19,Yes
P00094,2024-07-20,Sweden,Whale,Active,Slots,Credit Card,2024-12-19,Yes
P00095,2024-03-27,Brazil,Casual,Active,Sports Betting,Credit Card,2024-12-17,No
P00096,2023-03-17,Malta,Casual,Inactive,Live Casino,Bank Transfer,2023-05-10,Yes
P00097,2024-07-25,Finland,Casual,Dormant,Sports Betting,Crypto,2024-08-22,No
P00098,2024-08-25,Nigeria,Casual,Dormant,Poker,Credit Card,2024-09-13,Yes
P00099,2023-08-01,Germany,Regular,Inactive,Live Casino,E-Wallet,2023-12-14,Yes
P00100,2023-01-03,Sweden,Casual,Inactive,Table Games,Credit Card,2024-09-02,Yes
P00101,2024-12-20,Germany,Regular,Dormant,Live Casino,Bank Transfer,2024-12-20,No
P00102,2024-11-08,Cyprus,Regular,Dormant,Sports Betting,Credit Card,2024-11-08,Yes
P00103,2023-09-30,UK,Regular,Dormant,Live Casino,Bank Transfer,2023-11-05,Yes
P00104,2023-10-23,Brazil,VIP,Active,Sports Betting,Bank Transfer,2024-12-24,Yes
P00105,2023-03-24,India,Casual,Inactive,Poker,Bank Transfer,2024-06-08,Yes
P00106,2024-11-21,Nigeria,Casual,Dormant,Poker,Credit Card,2024-11-21,No
P00107,2023-10-03,Malta,Regular,Inactive,Sports Betting,Crypto,2024-10-27,No
P00108,2024-08-22,Germany,Casual,Inactive,Sports Betting,Bank Transfer,2024-10-23,Yes
P00109,2023-04-18,Canada,Casual,Dormant,Sports Betting,Bank Transfer,2024-03-20,Yes
P00110,2024-07-17,India,Casual,Active,Table Games,Bank Transfer,2024-12-18,Yes
P00111,2024-06-10,Finland,Regular,Dormant,Sports Betting,Crypto,2024-06-10,Yes
P00112,2024-09-29,UK,Regular,Dormant,Live Casino,Bank Transfer,2024-10-02,Yes
P00113,2024-03-24,Germany,VIP,Dormant,Slots,E-Wallet,2024-07-26,Yes
P00114,2023-01-15,Cyprus,Casual,Inactive,Slots,Crypto,2023-04-20,No
P00115,2023-06-07,Finland,Regular,Inactive,Table Games,Crypto,2024-03-31,No
P00116,2023-09-07,Canada,Whale,Active,Live Casino,E-Wallet,2024-12-19,No
P00117,2024-02-29,Finland,Casual,Active,Table Games,Credit Card,2024-12-29,Yes
P00118,2024-08-24,Sweden,Casual,Inactive,Live Casino,Crypto,2024-11-16,Yes
P00119,2024-07-19,Sweden,Casual,Dormant,Table Games,E-Wallet,2024-09-05,No
P00120,2024-01-28,Canada,Casual,Active,Slots,Bank Transfer,2024-12-29,Yes
P00121,2024-01-26,Sweden,Regular,Inactive,Slots,E-Wallet,2024-04-12,Yes
P00122,2023-04-13,Germany,Regular,Dormant,Poker,Crypto,2024-07-06,Yes
P00123,2024-11-01,Germany,Casual,Dormant,Sports Betting,Bank Transfer,2024-11-01,Yes
P00124,2024-10-27,Finland,Regular,Active,Sports Betting,Bank Transfer,2024-12-22,Yes
P00125,2024-05-14,Nigeria,VIP,Dormant,Slots,E-Wallet,2024-05-23,Yes
P00126,2023-08-21,Germany,VIP,Inactive,Slots,Crypto,2024-03-30,Yes
P00127,2023-01-30,UK,Casual,Active,Table Games,Bank Transfer,2024-12-29,Yes
P00128,2024-06-27,Malta,Casual,Inactive,Live Casino,Credit Card,2024-08-12,Yes
P00129,2024-11-30,Nigeria,Casual,Active,Live Casino,E-Wallet,2024-12-31,Yes
P00130,2023-09-19,Sweden,Casual,Self-Excluded,Table Games,E-Wallet,2024-11-03,Yes
P00131,2024-08-24,Brazil,VIP,Active,Sports Betting,Bank Transfer,2024-12-23,Yes
P00132,2024-05-09,Nigeria,Casual,Active,Table Games,Bank Transfer,2024-12-23,No
P00133,2024-11-05,Nigeria,Casual,Inactive,Slots,Crypto,2024-11-05,No
P00134,2023-08-24,Cyprus,VIP,Inactive,Live Casino,Bank Transfer,2024-02-20,Yes
P00135,2024-11-06,Germany,Regular,Self-Excluded,Slots,Bank Transfer,2024-11-10,No
P00136,2024-01-09,Brazil,Casual,Self-Excluded,Table Games,Crypto,2024-02-24,Yes
P00137,2024-07-06,Finland,Casual,Dormant,Poker,Bank Transfer,2024-08-21,No
P00138,2024-05-08,India,Casual,Dormant,Slots,Crypto,2024-07-22,No
P00139,2023-08-20,Canada,Casual,Dormant,Poker,Bank Transfer,2024-08-24,Yes
P00140,2023-09-28,India,Casual,Inactive,Table Games,Crypto,2024-05-17,No
P00141,2023-04-21,UK,VIP,Inactive,Poker,Bank Transfer,2024-08-15,No
P00142,2023-03-06,Brazil,Casual,Inactive,Sports Betting,Credit Card,2024-06-23,Yes
P00143,2023-11-08,Germany,VIP,Dormant,Live Casino,E-Wallet,2024-01-06,Yes
P00144,2024-12-14,Canada,Casual,Dormant,Poker,E-Wallet,2024-12-14,No
P00145,2024-05-16,UK,Regular,Inactive,Table Games,E-Wallet,2024-07-26,Yes
P00146,2024-01-07,India,Whale,Active,Poker,Bank Transfer,2024-12-27,Yes
P00147,2023-05-06,Germany,Casual,Dormant,Live Casino,Credit Card,2024-08-13,Yes
P00148,2023-05-09,Germany,Casual,Dormant,Poker,E-Wallet,2023-12-05,Yes
P00149,2023-08-27,Nigeria,VIP,Active,Slots,Bank Transfer,2024-12-19,No
P00150,2023-05-14,Germany,Casual,Inactive,Slots,E-Wallet,2023-11-08,Yes
P00151,2023-09-01,Malta,Regular,Inactive,Table Games,Credit Card,2023-09-09,Yes
P00152,2023-04-27,Sweden,Casual,Self-Excluded,Table Games,Credit Card,2024-08-26,Yes
P00153,2024-09-21,Finland,Casual,Active,Table Games,Crypto,2024-12-29,Yes
P00154,2024-05-05,Germany,Casual,Dormant,Sports Betting,Crypto,2024-08-22,Yes
P00155,2024-09-14,Brazil,Casual,Active,Poker,Bank Transfer,2024-12-19,Yes
P00156,2023-10-29,Canada,Regular,Inactive,Slots,Credit Card,2024-09-02,No
P00157,2024-07-18,Canada,Regular,Self-Excluded,Sports Betting,E-Wallet,2024-09-11,Yes
P00158,2024-02-13,India,VIP,Active,Sports Betting,Bank Transfer,2024-12-18,Yes
P00159,2023-06-06,Germany,Casual,Self-Excluded,Slots,Credit Card,2024-10-03,Yes
P00160,2024-01-17,Nigeria,Casual,Dormant,Poker,Bank Transfer,2024-02-16,Yes
P00161,2024-11-12,Canada,Casual,Dormant,Slots,Bank Transfer,2024-11-12,Yes
P00162,2024-08-14,Sweden,Casual,Inactive,Live Casino,Credit Card,2024-09-02,Yes
P00163,2023-04-28,Canada,Regular,Dormant,Poker,Credit Card,2023-12-15,Yes
P00164,2024-12-11,Brazil,Regular,Active,Table Games,Bank Transfer,2024-12-19,Yes
P00165,2023-05-27,Germany,Casual,Inactive,Live Casino,Credit Card,2024-07-10,Yes
P00166,2024-01-21,Malta,Regular,Inactive,Table Games,Bank Transfer,2024-07-13,Yes
P00167,2024-08-04,UK,Regular,Inactive,Live Casino,E-Wallet,2024-11-25,No
P00168,2023-03-25,Canada,Casual,Active,Sports Betting,Crypto,2024-12-27,Yes
P00169,2024-06-08,Germany,Casual,Active,Table Games,Crypto,2024-12-23,Yes
P00170,2023-08-14,UK,Casual,Inactive,Slots,E-Wallet,2024-06-15,Yes
P00171,2023-05-21,India,Casual,Dormant,Slots,Credit Card,2023-10-16,Yes
P00172,2023-05-13,Finland,Casual,Inactive,Poker,Bank Transfer,2024-01-03,Yes
P00173,2023-02-13,Germany,VIP,Active,Table Games,Crypto,2024-12-24,Yes
P00174,2024-03-03,UK,Regular,Active,Table Games,E-Wallet,2024-12-23,No
P00175,2024-12-07,Germany,Regular,Dormant,Sports Betting,Credit Card,2024-12-07,Yes
P00176,2024-06-20,Brazil,Regular,Active,Table Games,E-Wallet,2024-12-30,Yes
P00177,2024-06-06,Finland,Casual,Inactive,Live Casino,Bank Transfer,2024-10-19,Yes
P00178,2024-10-22,Germany,Whale,Self-Excluded,Live Casino,Bank Transfer,2024-11-06,Yes
P00179,2024-11-02,Sweden,Regular,Active,Sports Betting,Crypto,2024-12-29,Yes
P00180,2024-10-20,India,VIP,Inactive,Table Games,E-Wallet,2024-11-28,Yes
P00181,2024-10-08,Nigeria,Casual,Active,Slots,Bank Transfer,2024-12-21,Yes
P00182,2024-04-07,Brazil,Casual,Active,Slots,Credit Card,2024-12-22,Yes
P00183,2024-04-18,UK,Regular,Inactive,Sports Betting,E-Wallet,2024-11-06,Yes
P00184,2023-06-04,Germany,Casual,Dormant,Table Games,Credit Card,2024-01-20,Yes
P00185,2023-09-11,Finland,Casual,Self-Excluded,Poker,E-Wallet,2024-04-22,Yes
P00186,2024-02-01,Nigeria,VIP,Active,Slots,Bank Transfer,2024-12-22,Yes
P00187,2024-11-25,Nigeria,Casual,Inactive,Live Casino,Bank Transfer,2024-11-27,Yes
P00188,2023-12-25,Canada,Regular,Active,Live Casino,Credit Card,2024-12-27,Yes
P00189,2023-12-03,Germany,Casual,Dormant,Sports Betting,Bank Transfer,2024-08-28,Yes
P00190,2023-08-08,Sweden,Casual,Active,Live Casino,E-Wallet,2024-12-29,No
P00191,2023-10-30,Finland,Casual,Dormant,Poker,Credit Card,2023-12-20,Yes
P00192,2024-09-24,Malta,VIP,Active,Live Casino,E-Wallet,2024-12-23,No
P00193,2023-06-19,Canada,Regular,Self-Excluded,Table Games,E-Wallet,2023-08-02,No
P00194,2024-04-04,Brazil,Regular,Active,Sports Betting,E-Wallet,2024-12-20,Yes
P00195,2024-03-27,Canada,VIP,Active,Poker,Crypto,2024-12-21,No
P00196,2024-09-11,UK,VIP,Active,Sports Betting,Bank Transfer,2024-12-21,Yes
P00197,2024-06-12,Germany,Casual,Dormant,Live Casino,Bank Transfer,2024-07-18,Yes
P00198,2024-03-23,Cyprus,Regular,Active,Sports Betting,Bank Transfer,2024-12-31,No
P00199,2024-02-10,Canada,Casual,Inactive,Slots,Bank Transfer,2024-06-09,Yes
P00200,2023-04-12,Malta,Casual,Dormant,Live Casino,Credit Card,2024-03-20,Yes
P00201,2024-12-13,Sweden,VIP,Self-Excluded,Sports Betting,Credit Card,2024-12-13,No
P00202,2023-08-09,Nigeria,Casual,Dormant,Poker,Crypto,2024-05-15,Yes
P00203,2023-11-05,Canada,Casual,Active,Poker,Crypto,2024-12-20,Yes
P00204,2024-05-26,Finland,VIP,Active,Poker,E-Wallet,2024-12-17,Yes
P00205,2023-01-02,Nigeria,Casual,Inactive,Sports Betting,E-Wallet,2023-09-05,Yes
P00206,2024-01-05,Finland,Casual,Active,Poker,Credit Card,2024-12-25,Yes
P00207,2024-10-12,Brazil,Casual,Inactive,Slots,Bank Transfer,2024-11-04,No
P00208,2024-11-03,Nigeria,Casual,Inactive,Table Games,E-Wallet,2024-11-27,Yes
P00209,2024-10-20,Sweden,Regular,Active,Sports Betting,E-Wallet,2024-12-29,No
P00210,2024-04-13,UK,Casual,Active,Live Casino,Credit Card,2024-12-20,Yes
P00211,2024-02-12,Sweden,Casual,Dormant,Table Games,Credit Card,2024-06-30,No
P00212,2024-01-01,India,Casual,Dormant,Table Games,Credit Card,2024-01-25,No
P00213,2024-02-14,India,Casual,Self-Excluded,Live Casino,Crypto,2024-08-29,Yes
P00214,2024-06-15,Canada,Casual,Active,Slots,Crypto,2024-12-18,Yes
P00215,2024-07-12,Germany,VIP,Active,Table Games,Bank Transfer,2024-12-18,Yes
P00216,2024-03-12,India,Regular,Active,Sports Betting,Credit Card,2024-12-24,Yes
P00217,2024-09-21,UK,VIP,Dormant,Slots,Crypto,2024-09-25,Yes
P00218,2024-11-26,Malta,VIP,Active,Poker,Crypto,2024-12-17,Yes
P00219,2024-10-22,Nigeria,Casual,Inactive,Slots,E-Wallet,2024-11-15,Yes
P00220,2024-01-16,Nigeria,VIP,Active,Live Casino,Bank Transfer,2024-12-18,Yes
P00221,2023-09-13,Malta,Regular,Dormant,Sports Betting,Crypto,2023-09-26,No
P00222,2023-09-24,Nigeria,Casual,Self-Excluded,Table Games,Crypto,2024-01-11,Yes
P00223,2023-03-17,Germany,Casual,Inactive,Table Games,Bank Transfer,2024-06-14,Yes
P00224,2023-10-25,Malta,Regular,Dormant,Table Games,E-Wallet,2024-01-13,Yes
P00225,2023-05-23,UK,Casual,Active,Table Games,Bank Transfer,2024-12-24,Yes
P00226,2023-05-13,Germany,Whale,Inactive,Table Games,Crypto,2023-08-09,No
P00227,2024-06-22,Nigeria,Regular,Inactive,Slots,E-Wallet,2024-10-04,No
P00228,2024-04-05,India,Regular,Inactive,Live Casino,E-Wallet,2024-08-15,No
P00229,2024-05-29,Germany,Casual,Dormant,Poker,E-Wallet,2024-06-05,Yes
P00230,2024-12-27,Brazil,Casual,Active,Slots,Bank Transfer,2024-12-25,Yes
P00231,2023-10-09,Nigeria,Whale,Active,Poker,Credit Card,2024-12-21,Yes
P00232,2024-08-17,Nigeria,Casual,Active,Poker,Bank Transfer,2024-12-27,No
P00233,2023-01-30,Nigeria,Regular,Active,Table Games,E-Wallet,2024-12-27,No
P00234,2024-10-16,Finland,Casual,Active,Table Games,Bank Transfer,2024-12-31,Yes
P00235,2024-12-02,Germany,VIP,Active,Slots,E-Wallet,2024-12-24,Yes
P00236,2023-07-28,India,Casual,Active,Table Games,Bank Transfer,2024-12-19,No
P00237,2024-01-15,India,Casual,Inactive,Live Casino,Crypto,2024-03-09,Yes
P00238,2023-05-25,Canada,Casual,Active,Poker,Crypto,2024-12-21,Yes
P00239,2023-06-13,Cyprus,VIP,Self-Excluded,Live Casino,Crypto,2024-04-28,No
P00240,2023-11-12,Canada,Casual,Inactive,Poker,Crypto,2023-12-28,No
P00241,2023-12-28,Sweden,Casual,Active,Poker,Crypto,2024-12-21,Yes
P00242,2023-04-21,India,Casual,Inactive,Sports Betting,Bank Transfer,2024-01-16,Yes
P00243,2024-07-29,Brazil,Casual,Active,Slots,Crypto,2024-12-25,Yes
P00244,2023-10-14,Nigeria,Regular,Dormant,Slots,E-Wallet,2024-08-28,No
P00245,2023-12-14,Malta,Casual,Inactive,Live Casino,Crypto,2024-06-18,Yes
P00246,2023-05-21,Finland,Casual,Self-Excluded,Sports Betting,E-Wallet,2024-09-17,Yes
P00247,2023-12-02,Malta,Regular,Dormant,Sports Betting,Bank Transfer,2024-05-13,Yes
P00248,2024-06-05,Brazil,Regular,Inactive,Sports Betting,Credit Card,2024-10-27,Yes
P00249,2024-03-02,Nigeria,Regular,Inactive,Sports Betting,Bank Transfer,2024-03-15,No
P00250,2024-08-15,UK,Regular,Inactive,Poker,Crypto,2024-11-15,Yes
P00251,2024-09-26,Malta,Regular,Dormant,Live Casino,Credit Card,2024-09-29,Yes
P00252,2023-07-15,Canada,Regular,Active,Live Casino,Crypto,2024-12-22,Yes
P00253,2024-09-18,UK,Casual,Dormant,Live Casino,E-Wallet,2024-10-01,Yes
P00254,2024-05-04,Malta,Whale,Active,Sports Betting,Bank Transfer,2024-12-22,Yes
P00255,2024-11-28,Nigeria,Regular,Inactive,Sports Betting,E-Wallet,2024-11-30,No
P00256,2023-11-02,Brazil,Casual,Active,Live Casino,Crypto,2024-12-21,Yes
P00257,2023-10-08,Finland,Casual,Active,Sports Betting,Crypto,2024-12-26,No
P00258,2023-05-30,Germany,Whale,Active,Table Games,Crypto,2024-12-21,Yes
P00259,2023-08-08,Brazil,Regular,Active,Poker,Bank Transfer,2024-12-25,Yes
P00260,2024-08-23,Finland,Regular,Active,Live Casino,E-Wallet,2024-12-17,Yes
P00261,2024-04-28,Malta,Casual,Active,Slots,E-Wallet,2024-12-29,Yes
P00262,2024-05-02,Brazil,VIP,Active,Table Games,Bank Transfer,2024-12-20,Yes
P00263,2023-04-02,Finland,VIP,Inactive,Slots,E-Wallet,2023-11-25,Yes
P00264,2023-02-07,Sweden,VIP,Dormant,Live Casino,Bank Transfer,2024-03-19,No
P00265,2024-08-04,India,Casual,Inactive,Table Games,Crypto,2024-11-30,No
P00266,2024-05-20,Finland,Regular,Dormant,Sports Betting,Bank Transfer,2024-06-23,Yes
P00267,2023-06-16,Malta,Casual,Self-Excluded,Slots,Bank Transfer,2024-03-05,No
P00268,2023-07-17,Canada,Regular,Active,Sports Betting,Bank Transfer,2024-12-30,Yes
P00269,2023-07-09,India,Regular,Dormant,Live Casino,Credit Card,2024-03-09,Yes
P00270,2023-10-01,Nigeria,Casual,Dormant,Poker,Credit Card,2024-03-03,Yes
P00271,2023-08-30,Sweden,Casual,Active,Table Games,E-Wallet,2024-12-18,Yes
P00272,2024-12-21,Germany,Regular,Dormant,Table Games,Bank Transfer,2024-12-21,Yes
P00273,2023-05-17,Nigeria,Casual,Inactive,Table Games,Crypto,2024-08-24,Yes
P00274,2024-07-04,Cyprus,VIP,Self-Excluded,Poker,Credit Card,2024-08-28,Yes
P00275,2024-01-06,Germany,Regular,Active,Slots,E-Wallet,2024-12-26,Yes
P00276,2023-12-02,Germany,Casual,Dormant,Live Casino,Crypto,2024-07-15,Yes
P00277,2023-02-26,Canada,Regular,Inactive,Sports Betting,Credit Card,2024-08-04,Yes
P00278,2023-11-12,Brazil,Regular,Self-Excluded,Slots,E-Wallet,2024-06-01,Yes
P00279,2023-12-19,UK,Casual,Self-Excluded,Slots,Crypto,2024-09-21,Yes
P00280,2023-05-19,Canada,Casual,Dormant,Table Games,Crypto,2024-09-30,Yes
P00281,2024-01-22,Finland,VIP,Active,Live Casino,Bank Transfer,2024-12-27,Yes
P00282,2024-02-07,Cyprus,Whale,Active,Slots,Credit Card,2024-12-28,No
P00283,2024-07-11,Cyprus,Casual,Inactive,Live Casino,Crypto,2024-10-16,Yes
P00284,2023-04-26,Canada,Casual,Active,Poker,Credit Card,2024-12-27,Yes
P00285,2024-08-31,UK,Casual,Active,Live Casino,Credit Card,2024-12-26,Yes
P00286,2023-08-11,UK,Casual,Dormant,Live Casino,Bank Transfer,2024-09-11,Yes
P00287,2024-08-12,India,VIP,Active,Live Casino,Bank Transfer,2024-12-26,No
P00288,2024-06-17,Brazil,Whale,Active,Slots,E-Wallet,2024-12-21,Yes
P00289,2024-05-22,Canada,Casual,Active,Poker,Bank Transfer,2024-12-22,Yes
P00290,2023-11-04,Finland,Casual,Inactive,Sports Betting,E-Wallet,2024-11-24,No
P00291,2024-12-25,UK,Casual,Active,Poker,Crypto,2024-12-24,No
P00292,2023-05-18,Cyprus,Regular,Inactive,Table Games,Credit Card,2024-02-03,No
P00293,2023-04-05,Cyprus,VIP,Active,Slots,Bank Transfer,2024-12-30,Yes
P00294,2023-02-10,Nigeria,Regular,Dormant,Poker,E-Wallet,2023-08-21,Yes
P00295,2023-12-07,UK,VIP,Active,Live Casino,E-Wallet,2024-12-31,No
P00296,2024-05-05,Canada,Casual,Dormant,Live Casino,Bank Transfer,2024-06-26,No
P00297,2024-06-30,Brazil,Casual,Inactive,Table Games,Crypto,2024-09-16,Yes
P00298,2024-04-25,Cyprus,VIP,Inactive,Table Games,Bank Transfer,2024-07-15,Yes
P00299,2023-08-15,Brazil,Regular,Self-Excluded,Poker,Crypto,2023-08-23,Yes
P00300,2023-08-24,Cyprus,Casual,Inactive,Sports Betting,Bank Transfer,2024-10-23,Yes
P00301,2024-10-19,Malta,VIP,Inactive,Table Games,E-Wallet,2024-11-17,Yes
