bonus_id,player_id,bonus_type,bonus_date,bonus_amount,wagering_requirement,wagering_met,bonus_cost
B000050,P00010,Welcome Bonus,2024-10-01,58.4,35,No,0
B000051,P00011,Welcome Bonus,2023-08-23,88.43,25,No,34.98
B000052,P00011,No Deposit,2023-12-12,151.44,20,No,0
B000053,P00011,Free Spins,2023-09-26,196.55,25,Yes,144.06
B000054,P00012,Welcome Bonus,2023-11-19,62.14,30,No,20.51
B000055,P00012,Welcome Bonus,2024-11-25,92.78,35,Yes,69.95
B000056,P00012,Deposit Match,2024-11-22,58.44,25,No,0
B000057,P00012,Deposit Match,2024-10-30,267.02,30,Yes,110.9
B000058,P00012,Welcome Bonus,2024-10-10,92.34,20,No,0
B000059,P00012,Cashback,2024-09-23,319.75,35,Yes,245.6
B000060,P00013,Welcome Bonus,2024-07-28,77.73,20,Yes,50.58
B000061,P00014,Welcome Bonus,2023-05-22,67.66,25,No,31.06
B000062,P00014,Free Spins,2024-05-01,473.74,30,No,0
B000063,P00014,Cashback,2024-12-29,54.45,20,Yes,39.8
B000064,P00014,No Deposit,2024-07-07,490.77,30,Yes,178.01
B000065,P00014,Welcome Bonus,2023-09-11,57.85,15,Yes,45.21
B000066,P00014,VIP Reload,2023-07-27,331.81,30,Yes,213.93
B000067,P00014,Free Spins,2024-11-10,44.27,40,Yes,29.55
B000068,P00014,No Deposit,2023-11-20,49.1,15,No,0
B000069,P00015,Welcome Bonus,2024-03-08,27.3,20,Yes,12.1
B000070,P00015,No Deposit,2024-09-11,269.69,20,No,0
B000071,P00016,Welcome Bonus,2023-01-12,98.03,20,Yes,7.0
B000072,P00016,Welcome Bonus,2023-05-08,182.22,30,Yes,59.82
B000073,P00016,Deposit Match,2024-07-09,417.5,25,No,0
B000074,P00016,No Deposit,2024-03-12,106.4,25,Yes,47.61
B000075,P00016,VIP Reload,2023-12-09,10.76,40,No,0
B000076,P00016,VIP Reload,2024-03-18,216.0,20,Yes,102.93
B000077,P00016,VIP Reload,2024-09-10,115.7,35,Yes,53.49
B000078,P00016,Deposit Match,2023-09-24,69.0,15,No,0
B000079,P00017,Welcome Bonus,2024-04-09,28.73,35,No,48.15
B000080,P00018,Welcome Bonus,2024-10-02,84.05,35,Yes,37.28
B000081,P00018,Welcome Bonus,2024-10-05,208.46,25,No,0
B000082,P00019,Welcome Bonus,2024-07-06,37.23,20,No,59.31
B000083,P00019,Deposit Match,2024-09-17,13.88,40,Yes,9.93
B000084,P00019,VIP Reload,2024-08-27,70.49,35,No,0
B000085,P00020,Welcome Bonus,2024-01-07,58.51,25,No,25.74
B000086,P00020,No Deposit,2024-02-09,416.61,20,No,0
B000087,P00021,Welcome Bonus,2023-03-29,98.55,30,No,5.5
B000088,P00021,No Deposit,2024-10-24,199.36,35,Yes,131.54
B000089,P00021,Free Spins,2024-09-07,241.28,40,No,0
B000090,P00021,Deposit Match,2024-01-28,340.86,25,No,0
B000091,P00021,No Deposit,2023-04-24,237.14,25,Yes,98.6
B000092,P00021,Cashback,2024-11-03,426.43,40,No,0
B000093,P00021,Deposit Match,2023-10-04,343.28,15,Yes,156.5
B000094,P00021,No Deposit,2024-06-23,144.71,25,Yes,102.57
B000095,P00021,VIP Reload,2024-05-04,176.27,20,No,0
B000096,P00021,VIP Reload,2024-12-16,210.93,15,Yes,71.84
B000097,P00021,Cashback,2024-09-18,264.16,20,No,0
B000098,P00022,Welcome Bonus,2023-06-19,12.14,25,Yes,32.18
B000099,P00022,Deposit Match,2024-11-29,269.85,20,Yes,148.32
B000100,P00022,Free Spins,2023-12-22,109.15,15,No,0
B000101,P00022,Deposit Match,2023-07-27,387.87,15,No,0
B000102,P00022,Free Spins,2024-09-08,408.88,35,Yes,163.73
B000103,P00022,Free Spins,2023-06-24,179.29,40,No,0
B000104,P00022,Free Spins,2023-12-04,385.4,40,No,0
B000105,P00023,Welcome Bonus,2024-12-07,15.11,20,No,18.65
B000106,P00023,VIP Reload,2024-12-16,152.38,40,Yes,112.16
B000107,P00023,Cashback,2024-12-15,256.18,25,No,0
B000108,P00024,Welcome Bonus,2023-09-11,64.87,20,No,13.0
B000109,P00024,Cashback,2024-06-02,482.55,30,Yes,374.66
B000110,P00025,Welcome Bonus,2024-12-25,52.23,30,No,22.03
B000111,P00025,Cashback,2024-12-30,96.41,35,Yes,34.59
B000112,P00026,Welcome Bonus,2023-09-01,77.58,30,No,33.17
B000113,P00026,Deposit Match,2023-12-12,160.89,35,Yes,51.76
B000114,P00027,Welcome Bonus,2024-08-13,51.7,30,No,57.99
B000115,P00027,Deposit Match,2024-10-05,393.53,20,Yes,148.71
B000116,P00027,Deposit Match,2024-12-30,89.99,40,Yes,36.21
B000117,P00027,VIP Reload,2024-11-24,385.39,15,No,0
B000118,P00027,No Deposit,2024-11-13,489.23,15,Yes,175.96
B000119,P00027,Welcome Bonus,2024-08-17,362.86,35,No,0
B000120,P00028,Welcome Bonus,2023-12-29,25.92,20,Yes,13.46
B000121,P00028,Deposit Match,2024-07-24,390.43,40,No,0
B000122,P00028,Deposit Match,2024-04-28,480.77,30,No,0
B000123,P00028,VIP Reload,2024-09-28,11.49,25,Yes,8.5
B000124,P00028,Cashback,2024-07-20,309.6,30,No,0
B000125,P00029,Welcome Bonus,2023-04-22,80.68,20,No,10.1
B000126,P00029,Deposit Match,2024-04-08,453.6,30,No,0
B000127,P00030,Welcome Bonus,2023-09-13,32.29,25,Yes,38.26
B000128,P00031,Welcome Bonus,2023-01-16,72.97,35,Yes,30.46
B000129,P00031,Cashback,2023-09-19,11.15,40,No,0
B000130,P00031,No Deposit,2023-03-19,214.57,25,Yes,90.57
B000131,P00031,No Deposit,2024-10-29,171.19,15,No,0
B000132,P00031,Cashback,2024-09-07,25.26,40,No,0
B000133,P00031,No Deposit,2024-12-26,58.54,15,No,0
B000134,P00031,Free Spins,2024-06-30,34.02,35,No,0
B000135,P00031,No Deposit,2023-07-15,394.46,30,Yes,188.07
B000136,P00031,Welcome Bonus,2023-02-16,411.64,15,Yes,177.91
B000137,P00031,Free Spins,2024-11-16,84.72,20,No,0
B000138,P00032,Welcome Bonus,2023-03-02,28.89,30,No,46.47
B000139,P00032,Deposit Match,2024-09-28,17.64,15,Yes,9.52
B000140,P00032,Welcome Bonus,2023-11-26,240.28,30,Yes,76.19
B000141,P00032,Welcome Bonus,2023-12-05,377.37,15,No,0
B000142,P00032,Welcome Bonus,2024-09-06,84.13,40,Yes,54.87
B000143,P00032,Free Spins,2023-12-05,162.07,40,Yes,80.29
B000144,P00032,VIP Reload,2024-10-02,365.81,30,No,0
B000145,P00032,Free Spins,2024-02-14,409.79,25,Yes,294.15
B000146,P00033,Welcome Bonus,2024-07-23,81.77,30,Yes,43.55
B000147,P00033,Deposit Match,2024-10-19,144.24,40,No,0
B000148,P00033,VIP Reload,2024-12-26,64.74,15,Yes,29.91
B000149,P00033,Deposit Match,2024-12-17,144.43,20,Yes,70.68
B000150,P00033,Free Spins,2024-08-28,111.27,35,No,0
B000151,P00034,Welcome Bonus,2024-07-09,90.04,20,No,12.71
B000152,P00035,Welcome Bonus,2023-06-11,52.09,30,No,36.73
B000153,P00035,Cashback,2023-10-01,17.8,15,Yes,11.52
B000154,P00035,Deposit Match,2024-12-14,286.99,25,No,0
B000155,P00035,VIP Reload,2023-10-07,71.81,30,Yes,22.31
B000156,P00035,No Deposit,2024-04-29,406.43,20,No,0
B000157,P00035,Free Spins,2024-08-19,23.13,35,No,0
B000158,P00035,Welcome Bonus,2024-02-18,31.54,35,Yes,16.43
B000159,P00036,Welcome Bonus,2023-08-29,28.94,30,No,49.59
B000160,P00036,VIP Reload,2024-05-01,21.87,15,No,0
B000161,P00036,Deposit Match,2024-02-13,450.5,20,No,0
B000162,P00037,Welcome Bonus,2024-08-20,53.28,20,Yes,9.08
B000163,P00038,Welcome Bonus,2024-11-18,20.72,20,No,31.35
B000164,P00039,Welcome Bonus,2023-04-13,91.84,35,No,17.26
B000165,P00039,Welcome Bonus,2024-12-05,123.55,35,No,0
B000166,P00039,Free Spins,2024-01-09,472.87,15,Yes,216.92
B000167,P00039,Welcome Bonus,2023-12-28,57.61,40,No,0
B000168,P00039,Deposit Match,2023-05-18,282.2,40,No,0
B000169,P00039,Free Spins,2024-07-24,235.42,15,Yes,155.14
B000170,P00040,Welcome Bonus,2023-09-08,42.6,20,No,11.54
B000171,P00040,VIP Reload,2024-06-20,67.03,15,Yes,43.34
B000172,P00040,Welcome Bonus,2024-05-16,66.58,40,Yes,47.39
B000173,P00040,VIP Reload,2024-05-12,64.0,35,No,0
B000174,P00040,Deposit Match,2023-12-21,37.16,40,No,0
B000175,P00040,Welcome Bonus,2024-01-22,332.12,30,Yes,119.37
B000176,P00041,Welcome Bonus,2024-10-31,96.41,35,No,32.72
B000177,P00041,Deposit Match,2024-11-26,431.01,20,No,0
B000178,P00041,Cashback,2024-10-31,271.72,35,No,0
B000179,P00041,Cashback,2024-12-08,41.8,35,No,0
B000180,P00041,No Deposit,2024-10-31,137.03,35,Yes,75.67
B000181,P00041,Free Spins,2024-12-06,460.03,20,Yes,147.49
B000182,P00041,Welcome Bonus,2024-11-23,138.66,15,No,0
B000183,P00041,Cashback,2024-11-15,262.67,25,No,0
B000184,P00042,Welcome Bonus,2023-04-29,65.12,35,No,37.75
B000185,P00043,Welcome Bonus,2024-10-11,64.17,35,Yes,31.33
B000186,P00043,Welcome Bonus,2024-10-31,448.14,35,Yes,276.18
B000187,P00044,Welcome Bonus,2023-04-05,89.09,20,No,21.32
B000188,P00044,Cashback,2024-06-27,101.59,35,Yes,76.57
B000189,P00044,Free Spins,2023-05-14,450.98,15,Yes,291.76
B000190,P00044,Free Spins,2023-11-29,174.98,40,No,0
B000191,P00044,Free Spins,2024-05-20,259.05,35,No,0
B000192,P00044,Cashback,2024-04-12,374.9,25,No,0
B000193,P00045,Welcome Bonus,2023-09-26,16.17,25,Yes,8.86
B000194,P00045,No Deposit,2023-11-17,51.65,35,Yes,23.43
B000195,P00045,No Deposit,2024-03-16,214.67,20,No,0
B000196,P00046,Welcome Bonus,2024-12-08,89.01,35,No,48.31
B000197,P00046,Welcome Bonus,2024-12-29,481.63,30,No,0
B000198,P00046,Free Spins,2024-12-19,407.28,25,Yes,219.87
B000199,P00046,Deposit Match,2024-12-27,353.84,35,Yes,138.74
B000200,P00046,VIP Reload,2024-12-09,96.34,35,No,0
B000201,P00046,No Deposit,2024-12-30,411.76,20,Yes,165.85
B000202,P00046,VIP Reload,2024-12-08,214.04,20,Yes,85.4
B000203,P00046,VIP Reload,2024-12-10,286.5,35,No,0
B000204,P00046,Deposit Match,2024-12-21,36.02,35,No,0
B000205,P00046,No Deposit,2024-12-28,40.05,20,No,0
B000206,P00046,Welcome Bonus,2024-12-16,69.31,15,Yes,45.17
B000207,P00047,Welcome Bonus,2023-05-11,37.03,35,No,48.08
B000208,P00047,Welcome Bonus,2023-08-05,149.22,40,No,0
B000209,P00048,Welcome Bonus,2023-12-29,83.44,35,Yes,28.5
B000210,P00048,Cashback,2024-07-23,246.66,40,No,0
B000211,P00049,Welcome Bonus,2023-07-01,57.5,25,Yes,9.32
B000212,P00049,Cashback,2024-01-18,369.73,25,No,0
B000213,P00049,No Deposit,2024-08-03,314.48,15,No,0
B000214,P00049,Deposit Match,2024-12-24,67.15,15,No,0
B000215,P00049,Deposit Match,2024-05-21,434.01,15,No,0
B000216,P00049,Cashback,2024-09-25,468.63,35,No,0
B000217,P00049,Free Spins,2024-02-18,213.61,25,No,0
B000218,P00049,Welcome Bonus,2023-12-05,436.22,25,Yes,323.85
B000219,P00049,Welcome Bonus,2024-08-26,159.16,35,No,0
B000220,P00049,VIP Reload,2024-05-06,413.27,35,No,0
B000221,P00049,Deposit Match,2024-09-06,454.71,25,Yes,253.47
B000222,P00050,Welcome Bonus,2023-09-12,41.29,30,No,11.93
B000223,P00050,Free Spins,2024-03-01,313.92,40,Yes,188.95
B000224,P00050,Welcome Bonus,2024-06-01,197.15,40,No,0
B000225,P00050,Deposit Match,2024-09-13,383.94,40,Yes,277.72
B000226,P00050,VIP Reload,2024-11-18,426.1,35,No,0
B000227,P00051,Welcome Bonus,2024-04-16,82.94,30,Yes,36.47
B000228,P00051,VIP Reload,2024-06-24,91.73,15,No,0
B000229,P00052,Welcome Bonus,2023-10-13,90.56,30,No,42.05
B000230,P00053,Welcome Bonus,2023-12-06,80.73,20,Yes,32.0
B000231,P00053,Cashback,2024-07-05,455.86,20,No,0
B000232,P00053,Cashback,2024-01-29,228.15,40,No,0
B000233,P00053,No Deposit,2024-12-23,113.13,35,Yes,61.99
B000234,P00053,VIP Reload,2023-12-19,476.23,30,Yes,147.2
B000235,P00054,Welcome Bonus,2023-12-20,18.38,35,No,29.53
B000236,P00054,VIP Reload,2024-03-21,467.33,40,Yes,200.56
B000237,P00054,No Deposit,2024-12-17,97.16,40,Yes,45.49
B000238,P00054,Free Spins,2024-03-11,50.87,15,Yes,36.31
B000239,P00055,Welcome Bonus,2023-09-18,35.03,20,Yes,33.92
B000240,P00055,Cashback,2023-12-12,468.3,35,No,0
B000241,P00056,Welcome Bonus,2024-11-11,33.28,30,Yes,31.98
B000242,P00056,Welcome Bonus,2024-11-20,51.65,20,No,0
B000243,P00057,Welcome Bonus,2023-11-13,34.4,30,Yes,39.27
B000244,P00057,Free Spins,2024-10-03,484.44,40,Yes,224.81
B000245,P00058,Welcome Bonus,2024-01-24,29.24,20,Yes,17.96
B000246,P00058,Deposit Match,2024-09-10,323.94,15,Yes,168.28
B000247,P00059,Welcome Bonus,2023-11-08,83.67,30,Yes,29.63
B000248,P00059,Cashback,2024-09-08,234.58,35,No,0
B000249,P00059,Cashback,2024-11-15,77.95,20,No,0
B000250,P00059,Cashback,2024-09-23,258.04,35,Yes,152.75
B000251,P00059,Welcome Bonus,2024-03-18,413.57,35,Yes,294.57
B000252,P00060,Welcome Bonus,2023-08-07,10.3,35,Yes,53.93
B000253,P00061,Welcome Bonus,2023-12-10,55.44,30,Yes,8.37
B000254,P00061,Welcome Bonus,2024-11-25,497.01,20,Yes,351.64
B000255,P00061,Welcome Bonus,2024-08-25,22.65,30,No,0
B000256,P00062,Welcome Bonus,2023-02-17,53.32,35,Yes,40.14
B000257,P00063,Welcome Bonus,2023-07-19,64.93,20,Yes,24.65
B000258,P00063,VIP Reload,2024-03-11,437.31,15,No,0
B000259,P00063,Free Spins,2023-12-24,75.04,40,Yes,31.77
B000260,P00063,Welcome Bonus,2024-04-11,207.76,30,No,0
B000261,P00063,Welcome Bonus,2023-10-31,235.76,40,Yes,73.94
B000262,P00064,Welcome Bonus,2023-04-20,35.89,25,Yes,26.19
B000263,P00064,VIP Reload,2024-11-22,462.92,15,No,0
B000264,P00064,VIP Reload,2023-08-03,290.98,40,Yes,157.94
B000265,P00064,Cashback,2024-03-03,75.42,20,No,0
B000266,P00065,Welcome Bonus,2023-05-05,60.06,30,Yes,10.35
B000267,P00066,Welcome Bonus,2024-09-19,60.28,35,Yes,37.47
B000268,P00066,VIP Reload,2024-12-22,362.13,40,No,0
B000269,P00066,Cashback,2024-10-14,126.9,15,No,0
B000270,P00066,No Deposit,2024-11-27,155.92,40,No,0
B000271,P00066,Deposit Match,2024-10-21,350.9,20,Yes,173.66
B000272,P00066,Deposit Match,2024-10-16,428.01,35,No,0
B000273,P00067,Welcome Bonus,2024-05-01,33.84,30,No,24.15
B000274,P00067,Deposit Match,2024-08-17,489.71,25,No,0
B000275,P00067,VIP Reload,2024-08-29,81.31,35,No,0
B000276,P00067,Deposit Match,2024-08-26,426.72,25,Yes,322.92
B000277,P00067,VIP Reload,2024-06-16,319.49,40,No,0
B000278,P00068,Welcome Bonus,2023-03-21,39.82,25,No,22.1
B000279,P00068,Free Spins,2024-05-21,307.36,25,Yes,100.61
B000280,P00069,Welcome Bonus,2023-06-04,83.23,35,Yes,54.75
B000281,P00069,Welcome Bonus,2024-12-02,338.28,30,Yes,241.24
B000282,P00070,Welcome Bonus,2024-04-22,17.31,35,No,29.75
B000283,P00071,Welcome Bonus,2024-01-25,84.35,20,No,24.52
B000284,P00071,Cashback,2024-02-29,360.28,25,No,0
B000285,P00072,Welcome Bonus,2024-09-09,38.4,30,No,27.8
B000286,P00072,Welcome Bonus,2024-10-06,419.97,40,Yes,283.72
B000287,P00073,Welcome Bonus,2024-11-15,92.61,30,No,9.64
B000288,P00073,Deposit Match,2024-11-21,32.22,35,Yes,9.69
B000289,P00074,Welcome Bonus,2024-02-08,36.23,20,No,53.55
B000290,P00074,VIP Reload,2024-05-24,374.27,30,Yes,231.99
B000291,P00074,Deposit Match,2024-02-14,365.93,25,Yes,114.95
B000292,P00074,Welcome Bonus,2024-07-27,197.85,25,Yes,131.74
B000293,P00074,Free Spins,2024-04-22,458.68,20,No,0
B000294,P00075,Welcome Bonus,2023-09-24,34.13,35,No,14.18
B000295,P00075,No Deposit,2023-10-30,310.86,35,No,0
B000296,P00076,Welcome Bonus,2024-03-07,28.96,30,No,6.33
B000297,P00077,Welcome Bonus,2024-10-27,30.54,20,No,55.19
B000298,P00078,Welcome Bonus,2023-06-06,58.1,35,No,32.11
B000299,P00078,Deposit Match,2024-05-04,439.93,15,No,0
B000300,P00079,Welcome Bonus,2024-01-13,94.73,35,No,34.4
B000301,P00079,No Deposit,2024-08-12,123.06,30,Yes,77.86
B000302,P00080,Welcome Bonus,2023-11-16,85.32,35,Yes,15.02
B000303,P00081,Welcome Bonus,2023-09-06,81.26,35,Yes,25.96
B000304,P00081,Deposit Match,2024-09-13,94.54,35,No,0
B000305,P00081,Welcome Bonus,2023-11-22,143.75,25,Yes,67.91
B000306,P00081,No Deposit,2023-12-21,379.08,40,Yes,280.46
B000307,P00081,Deposit Match,2024-07-26,179.39,25,No,0
B000308,P00081,Deposit Match,2024-04-10,139.32,40,Yes,56.52
B000309,P00081,VIP Reload,2024-09-18,482.39,40,Yes,165.3
B000310,P00081,Welcome Bonus,2023-09-22,400.58,40,No,0
B000311,P00081,Cashback,2024-11-17,206.88,20,Yes,112.91
B000312,P00081,Deposit Match,2024-02-06,174.07,40,Yes,120.51
B000313,P00081,Free Spins,2023-11-18,312.34,35,Yes,188.37
B000314,P00082,Welcome Bonus,2023-02-12,55.54,30,No,41.65
B000315,P00082,VIP Reload,2024-08-22,128.5,15,Yes,45.77
B000316,P00082,Welcome Bonus,2024-02-23,201.78,20,No,0
B000317,P00082,VIP Reload,2024-06-26,444.66,20,Yes,193.08
B000318,P00083,Welcome Bonus,2024-05-16,52.55,35,No,15.66
B000319,P00084,Welcome Bonus,2024-10-28,30.98,30,Yes,33.14
B000320,P00084,No Deposit,2024-11-10,31.7,20,Yes,21.41
B000321,P00085,Welcome Bonus,2023-10-02,46.46,20,Yes,35.41
B000322,P00085,Free Spins,2023-12-17,93.74,20,No,0
B000323,P00085,Free Spins,2024-11-27,58.24,20,Yes,17.74
B000324,P00085,Free Spins,2024-11-14,285.23,20,Yes,122.6
B000325,P00086,Welcome Bonus,2024-09-16,65.88,30,Yes,10.6
B000326,P00086,No Deposit,2024-09-28,152.31,20,No,0
B000327,P00087,Welcome Bonus,2023-09-22,99.5,30,No,37.08
B000328,P00088,Welcome Bonus,2023-09-05,66.55,30,No,30.67
B000329,P00088,Free Spins,2024-07-21,487.25,40,Yes,215.13
B000330,P00089,Welcome Bonus,2023-01-18,85.03,25,Yes,39.38
B000331,P00089,No Deposit,2024-05-22,444.17,20,No,0
B000332,P00090,Welcome Bonus,2024-07-20,46.29,20,Yes,24.01
B000333,P00090,No Deposit,2024-08-31,289.87,40,No,0
B000334,P00091,Welcome Bonus,2023-09-15,49.29,25,No,45.48
B000335,P00092,Welcome Bonus,2024-12-07,50.32,30,No,51.59
B000336,P00092,No Deposit,2024-12-14,463.2,30,No,0
B000337,P00092,No Deposit,2024-12-07,202.43,20,No,0
B000338,P00092,Free Spins,2024-12-28,228.37,35,Yes,84.06
B000339,P00092,Free Spins,2024-12-30,84.87,20,No,0
B000340,P00092,Deposit Match,2024-12-15,195.78,40,Yes,151.14
B000341,P00092,Welcome Bonus,2024-12-28,300.3,25,Yes,236.6
B000342,P00093,Welcome Bonus,2023-10-31,99.71,30,Yes,36.37
B000343,P00093,VIP Reload,2023-12-13,359.19,20,Yes,252.56
B000344,P00093,Deposit Match,2023-11-04,94.47,40,No,0
B000345,P00093,Free Spins,2024-05-14,190.1,25,Yes,142.23
B000346,P00094,Welcome Bonus,2024-07-20,86.86,20,Yes,19.51
B000347,P00094,Welcome Bonus,2024-08-04,225.57,20,No,0
B000348,P00094,Welcome Bonus,2024-10-31,393.38,30,Yes,207.96
B000349,P00094,Free Spins,2024-10-22,155.65,30,No,0
B000350,P00094,VIP Reload,2024-09-12,114.58,35,No,0
B000351,P00095,Welcome Bonus,2024-03-27,14.87,25,Yes,55.57
B000352,P00095,Deposit Match,2024-06-06,176.28,15,No,0
B000353,P00096,Welcome Bonus,2023-03-17,36.38,35,Yes,25.21
B000354,P00096,No Deposit,2023-07-08,496.43,40,No,0
B000355,P00097,Welcome Bonus,2024-07-25,23.66,20,No,55.0
B000356,P00097,Free Spins,2024-12-13,341.11,40,Yes,140.04
B000357,P00098,Welcome Bonus,2024-08-25,90.23,35,Yes,42.27
B000358,P00099,Welcome Bonus,2023-08-01,61.15,30,Yes,48.15
B000359,P00099,Welcome Bonus,2024-02-24,41.18,35,No,0
B000360,P00099,No Deposit,2023-11-20,420.79,25,No,0
B000361,P00099,No Deposit,2023-12-16,161.3,20,No,0
B000362,P00100,Welcome Bonus,2023-01-03,49.46,20,No,54.47
B000363,P00100,Cashback,2023-02-14,288.23,20,Yes,219.63
B000364,P00101,Welcome Bonus,2024-12-20,32.81,20,Yes,55.71
B000365,P00101,Free Spins,2024-12-29,180.83,25,Yes,129.05
B000366,P00101,Free Spins,2024-12-27,249.27,25,Yes,179.98
B000367,P00102,Welcome Bonus,2024-11-08,63.51,20,Yes,34.53
B000368,P00102,No Deposit,2024-11-23,470.83,35,Yes,219.84
B000369,P00102,Cashback,2024-12-27,183.59,15,Yes,108.65
B000370,P00102,No Deposit,2024-11-19,425.06,30,No,0
B000371,P00103,Welcome Bonus,2023-09-30,11.19,20,Yes,53.97
B000372,P00103,Free Spins,2024-12-25,362.87,25,No,0
B000373,P00103,Welcome Bonus,2024-06-22,150.61,25,Yes,65.83
B000374,P00103,Cashback,2023-12-02,87.43,30,No,0
B000375,P00103,Free Spins,2024-01-19,109.15,30,Yes,83.91
B000376,P00104,Welcome Bonus,2023-10-23,96.17,20,Yes,28.52
B000377,P00104,No Deposit,2023-10-28,35.17,35,Yes,23.95
B000378,P00104,No Deposit,2024-08-18,150.69,30,No,0
B000379,P00104,Welcome Bonus,2024-09-30,441.48,25,No,0
B000380,P00104,No Deposit,2023-11-12,197.04,40,Yes,61.26
B000381,P00104,VIP Reload,2024-09-20,424.78,15,No,0
B000382,P00104,Cashback,2024-05-14,470.79,35,Yes,206.66
B000383,P00104,Free Spins,2023-12-12,123.2,15,No,0
B000384,P00104,Cashback,2024-11-02,43.99,25,No,0
B000385,P00104,VIP Reload,2024-03-01,379.04,30,No,0
B000386,P00105,Welcome Bonus,2023-03-24,52.45,25,No,8.51
B000387,P00106,Welcome Bonus,2024-11-21,94.81,30,No,18.09
B000388,P00106,Deposit Match,2024-12-31,374.76,30,Yes,135.34
B000389,P00107,Welcome Bonus,2023-10-03,57.17,25,No,12.91
B000390,P00107,Cashback,2024-08-27,209.59,30,No,0
B000391,P00108,Welcome Bonus,2024-08-22,85.81,30,No,27.82
B000392,P00109,Welcome Bonus,2023-04-18,51.59,25,No,26.17
B000393,P00110,Welcome Bonus,2024-07-17,72.11,35,Yes,53.17
B000394,P00111,Welcome Bonus,2024-06-10,26.5,30,No,52.58
B000395,P00111,Welcome Bonus,2024-09-10,231.49,25,Yes,107.59
B000396,P00111,No Deposit,2024-08-11,189.88,40,No,0
B000397,P00112,Welcome Bonus,2024-09-29,34.36,20,No,22.18
B000398,P00112,Free Spins,2024-12-05,318.63,30,No,0
B000399,P00112,Welcome Bonus,2024-11-03,78.8,25,Yes,57.19
B000400,P00112,Free Spins,2024-12-11,277.65,25,No,0
B000401,P00112,Deposit Match,2024-12-01,151.7,15,No,0
B000402,P00113,Welcome Bonus,2024-03-24,58.48,25,Yes,25.0
